Movie ID,Title,Year,Rated,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Metacritic Rating,IMDb Rating,IMDb Votes,IMDb ID
Marcelino Pan y Vino-2010,Marcelino Pan y Vino,2010,Not Rated,91 min,"Drama, Family",José Luis Gutiérrez Arias,"Mikel Garcia Bilbao (screenplay), José María Sánchez Silva (book)","Alejandro Tommasi, Jorge Lavat, Teresa Ruiz, Mark Hernández Mosqueda",The friars of a poor war-ravaged monastery find an infant abandoned on their doorstep.,Spanish,Mexico,1 win.,N/A,6.1,140,tt1757806
Mark of the Vampire-1935,Mark of the Vampire,1935,Passed,60 min,"Horror, Mystery",Tod Browning,"Guy Endore (screen play), Bernard Schubert (screen play)","Lionel Barrymore, Elizabeth Allan, Bela Lugosi, Lionel Atwill","When a nobleman is murdered, a professor of the occult blames vampires; but not all is what it seems.","English, Czech",USA,1 nomination.,N/A,6.3,"4,038",tt0026685
The Mark of Zorro-1974,The Mark of Zorro,1974,Approved,78 min,"Action, Adventure, Western",Don McDougall,"Brian Taggert (teleplay), John Taintor Foote, Johnston McCulley (story ""The Curse of Capistrano"")","Frank Langella, Ricardo Montalban, Gilbert Roland, Louise Sorel","In the 1840s, the foppish Don Diego de la Vega returns from Spain to his family in California to find that his father has been replaced as ruler of the region by the cruel Don Luis Quintero...",English,USA,N/A,N/A,5.9,496,tt0071817
Martyrs-2015,Martyrs,2015,Not Rated,86 min,"Drama, Horror, Thriller","Kevin Goetz, Michael Goetz","Pascal Laugier (characters), Mark L. Smith (screenplay)","Troian Bellisario, Bailey Noble, Kate Burton, Caitlin Carmichael",A woman and her childhood friend seek out revenge on those who victimized and abused them.,English,USA,1 nomination.,22,4.0,"4,823",tt1663655
Masquerade in Mexico-1945,Masquerade in Mexico,1945,N/A,96 min,Comedy,Mitchell Leisen,"Karl Tunberg (screenplay), Edwin Justus Mayer (based on a story by), Franz Schulz (based on a story by)","Dorothy Lamour, Arturo de Córdova, Patric Knowles, Ann Dvorak",An American singer stranded in Mexico is hired by a banker to distract a Mexican matador who is making a play for the banker's wife. They hatch a scheme whereby she pretends to be a Spanish countess.,"English, Spanish",USA,N/A,N/A,6.0,65,tt0037903
The Mechanic-2011,The Mechanic,2011,R,93 min,"Action, Thriller",Simon West,"Richard Wenk (screenplay), Lewis John Carlino (screenplay), Lewis John Carlino (story)","Jason Statham, Ben Foster, Tony Goldwyn, Donald Sutherland",An elite hitman teaches his trade to an apprentice who has a connection to one of his previous victims.,English,USA,1 nomination.,49,6.6,"144,228",tt0472399
Meet Joe Black-1998,Meet Joe Black,1998,PG-13,178 min,"Drama, Fantasy, Romance",Martin Brest,"Ron Osborn (screenplay), Jeff Reno (screenplay), Kevin Wade (screenplay), Bo Goldman (screenplay), Alberto Casella (play), Walter Ferris (play), Maxwell Anderson (earlier screenplay), Gladys Lehman (earlier screenplay)","Brad Pitt, Anthony Hopkins, Claire Forlani, Jake Weber","Death, who takes the form of a young man, asks a media mogul to act as a guide to teach him about life on Earth, and in the process, he falls in love with his guide's daughter.","English, Dutch",USA,3 wins & 6 nominations.,43,7.2,"200,666",tt0119643
Meet Me in St. Louis-1966,Meet Me in St. Louis,1966,N/A,26 min,"Comedy, Drama, Family","Alan D. Courtney, Jeffrey Hayden",Sally Benson,"Shelley Fabares, Celeste Holm, Wesley Addy, Reta Shaw",N/A,English,USA,N/A,N/A,5.0,34,tt0250584
Men Don't Leave-1990,Men Don't Leave,1990,PG-13,115 min,Drama,Paul Brickman,"Barbara Benedek (screen story), Barbara Benedek (screenplay), Paul Brickman (screenplay), Moshé Mizrahi (film La Vie Continue)","Jessica Lange, Arliss Howard, Joan Cusack, Chris O'Donnell","A mother of two sons finds life considerably difficult on her own after the death of her beloved husband. Due to debt she must move them to Baltimore, and deal with the hardships and all ...",English,USA,3 nominations.,N/A,6.7,"2,122",tt0100134
"Merry Christmas, George Bailey-1997","Merry Christmas, George Bailey",1997,N/A,60 min,Fantasy,Matthew Diamond,N/A,"Casey Kasem, Bill Pullman, Penelope Ann Miller, Nathan Lane","Performance of the 1947 Lux Radio version of ""It's a Wonderful Life"", taped live in the historic Pasadena Playhouse as a benefit for the Pediatric AIDS Foundation.",English,USA,N/A,N/A,7.1,117,tt0136399
The Merry Widow-1952,The Merry Widow,1952,N/A,105 min,Musical,Curtis Bernhardt,"Sonya Levien (screenplay), William Ludwig (screenplay), Viktor Léon (operetta), Leo Stein (operetta)","Lana Turner, Fernando Lamas, Una Merkel, Richard Haydn","Operating under royal orders, a count must woo a young and wealthy widow in order to save a kingdom from bankruptcy.",English,USA,N/A,N/A,5.9,445,tt0044900
Merton of the Movies-1947,Merton of the Movies,1947,APPROVED,82 min,"Comedy, Romance",Robert Alton,"Lou Breslow, Marc Connelly (play), George S. Kaufman (play), George Wells, Harry Leon Wilson (novel)","Red Skelton, Virginia O'Brien, Gloria Grahame, Leon Ames",A Kansas bumpkin goes to Hollywood to become a movie star and gets a job burlesquing his favorite actor - only he thinks the role is serious.,English,USA,N/A,N/A,6.5,299,tt0039619
Messenger-1994,Messenger,1994,N/A,74 min,Drama,Norman Loftis,Norman Loftis,"Richard Barboza, Trish Cook, Malika Davis, Scott Ferguson",An ex-petty-crook courier (Richard Barboza) with a pregnant wife (Carolyn Kinebrew) and family searches for his stolen bicycle.,English,USA,N/A,N/A,7.0,15,tt0110498
Mighty Joe Young-1998,Mighty Joe Young,1998,PG,114 min,"Action, Adventure, Family, Fantasy, Thriller",Ron Underwood,"Merian C. Cooper (story), Ruth Rose (earlier screenplay), Mark Rosenthal (screenplay), Lawrence Konner (screenplay)","Charlize Theron, Bill Paxton, Rade Serbedzija, Peter Firth",A legendary fifteen-foot tall mountain gorilla named Joe is taken to an animal sanctuary in California by a zoologist and a young woman whom he grew up with. A poacher from the past returns to seek vengeance on him.,"English, Swahili",USA,Nominated for 1 Oscar. Another 1 win & 3 nominations.,51,5.6,"26,456",tt0120751
Miracle on 34th Street-1994,Miracle on 34th Street,1994,PG,114 min,"Family, Fantasy",Les Mayfield,"Valentine Davies (story), George Seaton, George Seaton (screenplay), John Hughes (screenplay)","Richard Attenborough, Elizabeth Perkins, Dylan McDermott, J.T. Walsh",A lawyer and a little girl must prove that a man claiming to be Santa Claus is the real thing.,"English, American Sign Language, Dutch, Italian, Russian, Swahili",USA,1 nomination.,N/A,6.5,"29,273",tt0110527
The Miracle Man-1932,The Miracle Man,1932,N/A,85 min,Drama,Norman Z. McLeod,"George M. Cohan (play), Robert Hobart Davis (novel), Samuel Hoffenstein (dialogue), Frank L. Packard (novel), Waldemar Young (adaptation), Waldemar Young (dialogue)","Sylvia Sidney, Chester Morris, Robert Coogan, John Wray","A gang of crooks evade the police by moving their operations to a small town. There the gang's leader, John Madison, encounters a faith healer and uses him to scam the gullible public of ...",English,USA,N/A,N/A,6.9,65,tt0023228
The Mirror Has Two Faces-1996,The Mirror Has Two Faces,1996,PG-13,126 min,"Comedy, Drama, Romance",Barbra Streisand,"André Cayatte (screenplay ""Le Miroir a Deux Faces""), Gérard Oury (screenplay ""Le Miroir a Deux Faces""), Richard LaGravenese (screen story), Richard LaGravenese (screenplay)","Barbra Streisand, Jeff Bridges, Lauren Bacall, George Segal","A shy, middle-aged professor enters into a romantic but non-physical relationship with an unlucky-in-love colleague.",English,USA,Nominated for 2 Oscars. Another 4 wins & 9 nominations.,N/A,6.6,"14,231",tt0117057
Mirrors-2008,Mirrors,2008,R,110 min,"Horror, Mystery",Alexandre Aja,"Alexandre Aja (screenplay), Grégory Levasseur (screenplay), Sung-ho Kim (Korean motion picture ""Into the Mirror"")","Kiefer Sutherland, Paula Patton, Cameron Boyce, Arika Gluck",An ex-cop and his family are the target of an evil force that is using mirrors as a gateway into their home.,English,"USA, Romania, Germany",2 nominations.,35,6.1,"98,794",tt0790686
Mixed Nuts-1994,Mixed Nuts,1994,PG-13,97 min,"Comedy, Drama",Nora Ephron,"Nora Ephron (screenplay), Delia Ephron (screenplay)","Steve Martin, Madeline Kahn, Robert Klein, Anthony LaPaglia",The events focus around a crisis hotline business on one crazy night during the Christmas holidays.,English,USA,1 nomination.,14,5.5,"9,575",tt0110538
Moby Dick-2011–,Moby Dick,2011–,PG,184 min,"Adventure, Drama",N/A,N/A,"William Hurt, Ethan Hawke, Charlie Cox, Eddie Marsan","The sole survivor of a lost whaling ship relates the tale of his captain's self-destructive obsession to hunt the white whale, Moby Dick!",English,"Germany, Austria",3 nominations.,N/A,6.2,"1,462",tt1334573
Mogambo-1953,Mogambo,1953,Approved,116 min,"Adventure, Drama, Romance",John Ford,"John Lee Mahin (screenplay), Wilson Collison (play)","Clark Gable, Ava Gardner, Grace Kelly, Donald Sinden","On a Kenyan safari, white hunter Victor Marswell has a love triangle with seductive American socialite Eloise Kelly and anthropologist Donald Nordley's cheating wife Linda.",English,"USA, UK",Nominated for 2 Oscars. Another 2 wins & 2 nominations.,N/A,6.7,"6,981",tt0046085
The Money Pit-1986,The Money Pit,1986,PG,91 min,Comedy,Richard Benjamin,David Giler,"Tom Hanks, Shelley Long, Alexander Godunov, Maureen Stapleton",A young couple struggles to repair a hopelessly dilapidated house.,"English, Spanish, Chinese, Russian, Portuguese",USA,N/A,49,6.4,"47,311",tt0091541
Moon Over Parador-1988,Moon Over Parador,1988,PG-13,103 min,"Comedy, Romance",Paul Mazursky,"Charles G. Booth (story), Leon Capetanos (screenplay), Paul Mazursky (screenplay)","Richard Dreyfuss, Raul Julia, Sônia Braga, Jonathan Winters","Little known actor, Jack Noah, is working on location in the country of Parador at the time the dictator dies. The dictator's right hand man, Roberto, makes Jack an offer he cannot refuse.....",English,USA,N/A,N/A,6.0,"5,166",tt0095654
The Monkey's Paw-1948,The Monkey's Paw,1948,N/A,64 min,"Horror, Thriller",Norman Lee,"W.W. Jacobs (from the famous story by), Norman Lee (screenplay), Barbara Toy (screenplay)","Milton Rosmer, Megs Jenkins, Michael Martin Harvey, Eric Micklewood","A mother wishes for the return of her dead son, and that wish is granted by a charm made from a severed monkey's paw.",English,UK,N/A,N/A,5.9,120,tt0179359
Mother's Day-2010,Mother's Day,2010,R,112 min,"Drama, Horror, Thriller",Darren Lynn Bousman,"Scott Milam (screenplay), Scott Milam (screen story), Charles Kaufman, Warren Leight","Rebecca De Mornay, Jaime King, Patrick John Flueger, Warren Kole",The sadistic members of a villainous family return to their childhood home to terrorize the new home owners and their guests.,English,USA,N/A,34,6.3,"15,243",tt1434435
"Move Over, Darling-1963","Move Over, Darling",1963,Approved,103 min,"Comedy, Romance",Michael Gordon,"Hal Kanter (screenplay), Jack Sher (screenplay), Bella Spewack (based on a screenplay by), Sam Spewack (based on a screenplay by), Bella Spewack (story), Sam Spewack (story), Leo McCarey (story)","Doris Day, James Garner, Polly Bergen, Thelma Ritter","After five years lost at sea, a missing wife thought long dead returns just after her husband remarries.","English, Spanish",USA,Nominated for 1 Golden Globe. Another 3 nominations.,N/A,7.0,"4,562",tt0057329
Mr. Deeds-2002,Mr. Deeds,2002,PG-13,96 min,"Comedy, Romance",Steven Brill,"Clarence Budington Kelland (short story ""Opera Hat""), Robert Riskin (film Mr. Deeds Goes to Town), Tim Herlihy (screenplay)","Adam Sandler, Winona Ryder, John Turturro, Allen Covert","A sweet-natured, small-town guy inherits a controlling stake in a media conglomerate and begins to do business his way.",English,USA,5 wins & 9 nominations.,24,5.8,"129,688",tt0280590
Mrs. Winterbourne-1996,Mrs. Winterbourne,1996,PG-13,105 min,"Comedy, Drama, Romance",Richard Benjamin,"Cornell Woolrich (novel), Phoef Sutton (screenplay), Lisa-Maria Radano (screenplay)","Shirley MacLaine, Ricki Lake, Brendan Fraser, Miguel Sandoval",Connie Doyle is eighteen and pregnant when her boyfriend kicks her out. She accidentally ends up on a train where she meets Hugh Winterbourne and his wife Patricia who is pregnant. The ...,English,USA,1 nomination.,35,6.2,"6,581",tt0117104
The Mummy-1999,The Mummy,1999,PG-13,124 min,"Action, Adventure, Fantasy",Stephen Sommers,"Stephen Sommers (screen story), Lloyd Fonvielle (screen story), Kevin Jarre (screen story), Stephen Sommers (screenplay)","Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo","At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreck havoc as he searches for the reincarnation of his long-lost love.","English, Egyptian (Ancient), Arabic, Chinese, Hebrew, Hungarian",USA,Nominated for 1 Oscar. Another 5 wins & 20 nominations.,48,7.0,"373,317",tt0120616
Murder on the Orient Express-2017,Murder on the Orient Express,2017,PG-13,114 min,"Crime, Drama, Mystery",Kenneth Branagh,"Michael Green (screenplay by), Agatha Christie (based upon the novel by)","Paapa Essiedu, Yassine Zeroual, Asan N'Jie, Michael Rouse","When a murder occurs on the train on which he's travelling, celebrated detective Hercule Poirot is recruited to solve the case.","English, French, German, Arabic","Malta, USA",1 win & 23 nominations.,52,6.5,"190,125",tt3402236
The Music Man-2003,The Music Man,2003,TV-G,150 min,"Comedy, Family, Musical, Romance, Drama",Jeff Bleckner,"Meredith Willson (story), Franklin Lacey (story), Meredith Willson (musical), Sally Robinson (adaptation)","Matthew Broderick, Kristin Chenoweth, Victor Garber, Debra Monk","Contemporary rethinking of the legendary Broadway musical and 1962 film, updated to reflect a few early twenty-first-century sensibilities: A masterful con artist tries to bilk a staid ...",English,USA,Nominated for 5 Primetime Emmys. Another 1 win & 5 nominations.,N/A,6.2,"1,772",tt0293437
My Cousin Rachel-2017,My Cousin Rachel,2017,PG-13,106 min,"Drama, Mystery, Romance",Roger Michell,"Roger Michell (written for the screen by), Daphne Du Maurier (based on the novel by)","Rachel Weisz, Sam Claflin, Holliday Grainger, Iain Glen","A young Englishman plots revenge against his late cousin's mysterious, beautiful wife, believing her responsible for his death. But his feelings become complicated as he finds himself falling under the beguiling spell of her charms.","English, Italian","UK, USA",1 win & 4 nominations.,63,6.0,"16,234",tt4411596
My Darling Clementine-1946,My Darling Clementine,1946,Not Rated,97 min,"Biography, Drama, Western",John Ford,"Samuel G. Engel (screen play), Winston Miller (screen play), Sam Hellman (from a story by), Stuart N. Lake (based on a book by)","Henry Fonda, Linda Darnell, Victor Mature, Cathy Downs","The Earps battle the Clantons at the OK Corral in Tombstone, Arizona.","English, Spanish",USA,3 wins.,N/A,7.8,"19,960",tt0038762
My Fair Lady-1964,My Fair Lady,1964,G,170 min,"Drama, Family, Musical, Romance",George Cukor,"Alan Jay Lerner (book), George Bernard Shaw (from a play by), Alan Jay Lerner (screenplay)","Audrey Hepburn, Rex Harrison, Stanley Holloway, Wilfrid Hyde-White",Snobbish phonetics Professor Henry Higgins (Sir Rex Harrison) agrees to a wager that he can make flower girl Eliza Doolittle (Audrey Hepburn) presentable in high society.,English,USA,Won 8 Oscars. Another 17 wins & 13 nominations.,95,7.8,"81,474",tt0058385
My Father the Hero-1994,My Father the Hero,1994,PG,90 min,"Comedy, Romance",Steve Miner,"Gérard Lauzier (screenplay ""Mon père,  ce héros""), Francis Veber (screenplay), Charlie Peters (screenplay)","Gérard Depardieu, Katherine Heigl, Dalton James, Lauren Hutton",A teenage girl on vacation in the Bahamas with her divorced father tries to impress a potential boyfriend by saying that her father is actually her lover.,"English, French","France, USA",1 nomination.,42,5.5,"10,061",tt0110612
My Man Godfrey-1957,My Man Godfrey,1957,UNRATED,92 min,Comedy,Henry Koster,"Eric Hatch (novel), Peter Berneis, William Bowers, Everett Freeman","June Allyson, David Niven, Jessie Royce Landis, Robert Keith","The eccentric Bullock household again need a new butler. Daughter Irene encounters bedraggled Godfrey Godfrey at the docks and, fancying him and noticing his obviously good manners, gets ...",English,USA,N/A,N/A,6.3,651,tt0050738
Naa Autograph Sweet Memories-2004,Naa Autograph Sweet Memories,2004,N/A,N/A,"Drama, Romance",Gopal Reddy S.,"Cheran (screenplay), Cheran (story), Gopalakrishna Paruchuri (dialogue), Venkateswara Rao Paruchuri (dialogue), V. Sateesh (dialogue)","Bhoomika Chawla, Gopika, Kanika, Venu Madhav","3 different phases of Seenu's(Ravi Teja) life, from his first love in childhood to his successful career and marriage.",Telugu,India,N/A,N/A,7.1,236,tt0959328
Nadja-1994,Nadja,1994,R,93 min,"Drama, Horror",Michael Almereyda,Michael Almereyda,"Elina Löwensohn, Nic Ratner, Karl Geary, Peter Fonda","This ultra-hip, post-modern vampire tale is set in contemporary New York City. Members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of ...",English,USA,2 wins & 5 nominations.,64,6.0,"2,605",tt0110620
Naina-2005,Naina,2005,N/A,104 min,"Drama, Horror, Mystery",Shripal Morakhia,"Shripal Morakhia (story), Sagar Pandya, Anjum Rajabali","Urmila Matondkar, Anuj Sawhney, Malavikka, Amardeep Jha","After receiving an eye transplant, a young woman realizes that she can see into the supernatural world.","Hindi, English","India, UK",1 nomination.,N/A,4.3,649,tt0443594
Never Say Never Again-1983,Never Say Never Again,1983,PG,134 min,"Action, Adventure, Thriller",Irvin Kershner,"Kevin McClory (based on an original story by), Jack Whittingham (based on an original story by), Ian Fleming (based on an original story by), Lorenzo Semple Jr. (screenplay)","Sean Connery, Klaus Maria Brandauer, Max von Sydow, Barbara Carrera","A S.P.E.C.T.R.E. Agent has stolen two American nuclear warheads, and James Bond must find their targets before they are detonated.","English, French, Spanish, Arabic","UK, USA, West Germany",Nominated for 1 Golden Globe. Another 1 win & 2 nominations.,68,6.2,"57,370",tt0086006
The Next Three Days-2010,The Next Three Days,2010,PG-13,133 min,"Action, Crime, Drama, Romance, Thriller",Paul Haggis,"Paul Haggis (screenplay), Fred Cavayé (screenplay ""Pour elle""), Guillaume Lemans (screenplay ""Pour elle"")","Russell Crowe, Elizabeth Banks, Michael Buie, Moran Atias",A married couple's life is turned upside down when the wife is accused of a murder.,English,"USA, France",3 nominations.,52,7.4,"172,094",tt1458175
Night and the City-1992,Night and the City,1992,R,105 min,"Comedy, Crime, Drama",Irwin Winkler,"Gerald Kersh (novel), Richard Price (screenplay)","Robert De Niro, Jessica Lange, Cliff Gorman, Alan King",The story about a cheating and incompetent lawyer (Harry Fabian) who suddenly gets obsessed on becoming a boxing promoter.,English,USA,N/A,61,5.8,"4,245",tt0105001
Night Must Fall-1964,Night Must Fall,1964,N/A,101 min,"Crime, Thriller",Karel Reisz,"Emlyn Williams (play), Clive Exton","Albert Finney, Mona Washbourne, Susan Hampshire, Sheila Hancock","A psychotic killer gets in the good graces of his aging invalid employer, and worms his way into the affection of her beautiful daughter, with unpleasant results for all.","English, German",UK,1 nomination.,N/A,6.6,546,tt0058401
Night of the Hunter-1991,Night of the Hunter,1991,N/A,90 min,"Drama, Thriller",David Greene,"Davis Grubb (novel), Edmond Stevens (teleplay)","Richard Chamberlain, Diana Scarwid, Amy Bebout, Reid Binion",A false preacher ingratiates himself with a dead man's family to find where he hid the money from a robbery.,English,USA,N/A,N/A,3.8,267,tt0102533
A Nightmare on Elm Street-2010,A Nightmare on Elm Street,2010,R,95 min,"Crime, Drama, Horror, Mystery",Samuel Bayer,"Wesley Strick (screenplay), Eric Heisserer (screenplay), Wesley Strick (story), Wes Craven (characters)","Jackie Earle Haley, Kyle Gallner, Rooney Mara, Katie Cassidy","The spectre of a disfigured man haunts the children of the parents who murdered him, stalking and killing them in their dreams.",English,USA,2 wins & 11 nominations.,35,5.2,"87,626",tt1179056
Night of the Demons-2009,Night of the Demons,2009,R,93 min,"Action, Comedy, Horror, Thriller",Adam Gierasch,"Jace Anderson (screenplay), Adam Gierasch (screenplay), Joe Augustyn (earlier screenplay)","Tatyana Kanavka, Michael Arata, Shannon Elizabeth, Linnea Quigley","A group of kids go to a Halloween party, only to have to face down a group of demons.","English, Russian",USA,1 nomination.,N/A,4.7,"6,747",tt1268809
Night of the Living Dead 3D-2006,Night of the Living Dead 3D,2006,R,80 min,Horror,Jeff Broadstreet,"George A. Romero, John A. Russo, Robert Valding (screenplay)","Brianna Brown, Joshua DesRoches, Sid Haig, Greg Travis","Both an homage to and a re-imagining of the original 1968 film, this update follows a group of survivors trapped in a farmhouse battling a siege of undead zombies....in 3D!",English,USA,N/A,32,3.1,"3,276",tt0489244
Nightwatch-1997,Nightwatch,1997,R,101 min,"Drama, Horror, Thriller",Ole Bornedal,"Ole Bornedal (film Nattevagten), Ole Bornedal (screenplay), Steven Soderbergh (screenplay)","Anais Evans, Ewan McGregor, Nick Nolte, Erich Anderson","A law student, who takes a job as a night watchman at a morgue, begins to discover clues that implicate him as the suspect of a series of murders.",English,USA,2 wins.,40,6.2,"18,188",tt0119791
Nine Months-1995,Nine Months,1995,PG-13,103 min,"Comedy, Romance",Chris Columbus,"Patrick Braoudé (film ""Neuf mois""), Chris Columbus (screenplay)","Hugh Grant, Julianne Moore, Tom Arnold, Joan Cusack","When he finds out his longtime girlfriend is pregnant, a commitment-phobe realizes he might have to change his lifestyle for better or much, much worse.","English, Russian",USA,1 win & 2 nominations.,47,5.5,"33,782",tt0113986
No Reservations-2007,No Reservations,2007,PG,104 min,"Comedy, Drama, Romance",Scott Hicks,"Carol Fuchs (screenplay), Sandra Nettelbeck (screenplay ""Mostly Martha"")","Catherine Zeta-Jones, Aaron Eckhart, Abigail Breslin, Patricia Clarkson",The life of a top chef changes when she becomes the guardian of her young niece.,English,USA,1 nomination.,50,6.3,"67,901",tt0481141
Nosferatu the Vampyre-1979,Nosferatu the Vampyre,1979,PG,107 min,"Drama, Horror",Werner Herzog,Werner Herzog,"Klaus Kinski, Isabelle Adjani, Bruno Ganz, Roland Topor","Count Dracula moves from Transylvania to Wismar, spreading the Black Plague across the land. Only a woman pure of heart can bring an end to his reign of horror.","German, English, Romany","West Germany, France",5 wins & 8 nominations.,79,7.5,"29,904",tt0079641
No Way Out-1987,No Way Out,1987,R,114 min,"Action, Crime, Drama, Mystery, Romance, Thriller",Roger Donaldson,"Kenneth Fearing (novel), Robert Garland (screen story), Robert Garland (screenplay)","Kevin Costner, Gene Hackman, Sean Young, Will Patton",A coverup and witchhunt occur after a politician accidentally kills his mistress.,"English, Russian",USA,N/A,77,7.1,"32,736",tt0093640
Not of This Earth-1995,Not of This Earth,1995,R,91 min,Sci-Fi,Terence H. Winkless,"Charles B. Griffith, Mark Hanna, Charles Philip Moore","Michael York, Parker Stevenson, Elizabeth Barondes, Richard Belzer","An anemic alien comes to Earth from a dying planet, in the remake of the Corman 50s classic.",English,USA,N/A,N/A,5.1,368,tt0114004
Notorious-1992,Notorious,1992,N/A,100 min,"Action, Thriller",Colin Bucksey,"Ben Hecht (earlier story), Ben Hecht (earlier screenplay), Douglas Lloyd McIntosh (teleplay)","John Shea, Jenny Robertson, Jean-Pierre Cassel, Marisa Berenson","After Alicia Velorus' father is convicted as a communist spy, CIA asks her to prove her loyalty by getting close to her father's friend, who's a suspected arms dealer. In the meantime she and her CIA contact Devlin fall in love.",English,USA,N/A,N/A,4.3,108,tt0105022
All the Best-2012,All the Best,2012,N/A,N/A,Drama,J.D. Chakravarthi,J.D. Chakravarthi (story & screenplay),"Srikanth, J.D. Chakravarthi, Lucky Sharma, Pradeep Singh Rawat",N/A,Telugu,India,N/A,N/A,5.9,97,tt2454836
The Nutty Professor-1996,The Nutty Professor,1996,PG-13,95 min,"Comedy, Romance, Sci-Fi",Tom Shadyac,"Jerry Lewis, Bill Richmond, David Sheffield (screenplay), Barry W. Blaustein (screenplay), Tom Shadyac (screenplay), Steve Oedekerk (screenplay)","Eddie Murphy, Jada Pinkett Smith, James Coburn, Larry Miller",Grossly overweight yet good-hearted professor Sherman Klump takes a special chemical that turns him into the slim but obnoxious Buddy Love.,English,USA,Won 1 Oscar. Another 9 wins & 12 nominations.,62,5.6,"104,084",tt0117218
Ocean's Eleven-2001,Ocean's Eleven,2001,PG-13,116 min,"Crime, Thriller",Steven Soderbergh,"George Clayton Johnson, Jack Golden Russell, Harry Brown, Charles Lederer, Ted Griffin (screenplay)","George Clooney, Cecelia Ann Birt, Paul L. Nolan, Carol Florence",Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.,"English, Italian, Cantonese",USA,4 wins & 20 nominations.,74,7.8,"486,245",tt0240772
"Oh Jonathan, oh Jonathan!-1973","Oh Jonathan, oh Jonathan!",1973,N/A,97 min,Comedy,Franz Peter Wirth,"Hanns Kräly (story), Franz Peter Wirth","Heinz Rühmann, Franziska Oehme, Paul Dahlke, Peter Fricke",N/A,German,West Germany,N/A,N/A,5.8,96,tt0070469
Of Human Bondage-1964,Of Human Bondage,1964,Approved,100 min,Drama,"Ken Hughes, Henry Hathaway, Bryan Forbes","Bryan Forbes, W. Somerset Maugham (novel)","Kim Novak, Laurence Harvey, Robert Morley, Siobhan McKenna",A medical student becomes obsessed with his faithless lover.,English,UK,Nominated for 1 BAFTA Film Award. Another 1 nomination.,N/A,6.6,757,tt0058425
Of Mice and Men-1992,Of Mice and Men,1992,PG-13,115 min,"Drama, Western",Gary Sinise,"John Steinbeck (novel), Horton Foote (screenplay)","John Malkovich, Gary Sinise, Ray Walston, Casey Siemaszko","Two drifters, one a gentle but slow giant, try to make money working the fields during the Depression so they can fulfill their dreams.",English,USA,1 nomination.,N/A,7.5,"38,349",tt0105046
The Old Dark House-1963,The Old Dark House,1963,PG,86 min,"Comedy, Horror, Mystery, Thriller",William Castle,"Robert Dillon (screenplay), J.B. Priestley (based on ""The Old Dark House"" by)","Tom Poston, Robert Morley, Janette Scott, Joyce Grenfell","An American who sells cars in England receives a mysterious invitation from an old, eccentric millionaire to visit his house in which he lives with his twin brother.",English,"UK, USA",1 nomination.,N/A,5.4,"1,436",tt0057379
Oldboy-2013,Oldboy,2013,R,104 min,"Action, Drama, Mystery, Thriller",Spike Lee,"Garon Tsuchiya (manga), Nobuaki Minegishi (manga), Mark Protosevich (screenplay)","Josh Brolin, Elizabeth Olsen, Sharlto Copley, Samuel L. Jackson","Obsessed with vengeance, a man sets out to find out why he was kidnapped and locked into solitary confinement for twenty years without reason.",English,USA,4 nominations.,49,5.7,"64,853",tt1321511
Oliver Twist-2007–2008,Oliver Twist,2007–2008,TV-PG,176 min,Drama,N/A,N/A,"William Miller, Adam Arnold, Ryan Barr, Connor Catchpole",The adventures of the orphaned Oliver Twist in Victorian London.,English,"UK, USA",1 win & 2 nominations.,N/A,7.4,"2,378",tt1065309
The Omen-2006,The Omen,2006,R,110 min,"Horror, Thriller",John Moore,David Seltzer,"Predrag Bjelac, Carlo Sabatini, Bohumil Svarc, Liev Schreiber",An American official realizes that his young son may literally be the Devil incarnate.,"English, Italian",USA,1 win & 6 nominations.,43,5.5,"54,523",tt0466909
On the Beach-2000,On the Beach,2000,N/A,195 min,"Drama, Sci-Fi",Russell Mulcahy,"Nevil Shute (novel), John Paxton, David Williamson (teleplay), Bill Kerby (teleplay)","Armand Assante, Rachel Ward, Bryan Brown, Jacqueline McKenzie","After a global nuclear war, the residents of Australia must come to terms with the fact that all life will be destroyed in a matter of months.",English,"Australia, USA",Nominated for 2 Golden Globes. Another 7 wins & 5 nominations.,N/A,7.0,"3,534",tt0219224
One Sunday Afternoon-1948,One Sunday Afternoon,1948,N/A,90 min,"Musical, Romance",Raoul Walsh,"James Hagan (play), Robert L. Richards","Dennis Morgan, Janis Paige, Don DeFore, Dorothy Malone","One Sunday afternoon in the park, aspiring dentist Biff Grimes (Gary Cooper) meets a beauty (Fay Wray), falls heart over head in unrequited love, and &#xFFFD;&#xFFFD;&#xFFFD; despite ...",English,USA,N/A,N/A,5.9,110,tt0040668
