Movie ID,Title,Year,Type
Springtime in a Small Town-2002,Springtime in a Small Town,2002,Remake
The Squaw Man-1931,The Squaw Man,1931,Remake
Stage Struck-1958,Stage Struck,1958,Remake
Stagecoach-1986,Stagecoach,1986,Remake
A Star Is Born-2018,A Star Is Born,2018,Remake
State Fair-1962,State Fair,1962,Remake
The Stepfather-2009,The Stepfather,2009,Remake
The Stepford Wives-2004,The Stepford Wives,2004,Remake
Stolen Hours-1963,Stolen Hours,1963,Remake
Straw Dogs-2011,Straw Dogs,2011,Remake
The Student of Prague-1935,The Student of Prague,1935,Remake
The Sun Shines Bright-1953,The Sun Shines Bright,1953,Remake
The Sunshine Boys-1996,The Sunshine Boys,1996,Remake
Svengali-1983,Svengali,1983,Remake
The Swan-1956,The Swan,1956,Remake
Sweet 20-2015,Sweet 20,2015,Remake
Sweet November-2001,Sweet November,2001,Remake
Swept Away-2002,Swept Away,2002,Remake
Switching Channels-1988,Switching Channels,1988,Remake
The Taking of Pelham 1 2 3-2009,The Taking of Pelham 1 2 3,2009,Remake
"Tarzan, the Ape Man-1959","Tarzan, the Ape Man",1959,Remake
Taxi-2004,Taxi,2004,Remake
The Texas Chainsaw Massacre-2003,The Texas Chainsaw Massacre,2003,Remake
That Darn Cat-1997,That Darn Cat,1997,Remake
The Thief of Baghdad-1978,The Thief of Baghdad,1978,Remake
Thieves Like Us-1974,Thieves Like Us,1974,Remake
The 39 Steps-2008,The 39 Steps,2008,Remake
Yamato Takeru-1994,Yamato Takeru,1994,Remake
The Thing-1982,The Thing,1982,Remake
The Thirteenth Floor-1999,The Thirteenth Floor,1999,Remake
Thirteen Ghosts-2001,Thirteen Ghosts,2001,Remake
The Thomas Crown Affair-1999,The Thomas Crown Affair,1999,Remake
Three Fugitives-1989,Three Fugitives,1989,Remake
The Three Musketeers-2011,The Three Musketeers,2011,Remake
The Time Machine-2002,The Time Machine,2002,Remake
To Be or Not to Be-1983,To Be or Not to Be,1983,Remake
Too Good to Be True-1988,Too Good to Be True,1988,Remake
Toolbox Murders-2004,Toolbox Murders,2004,Remake
Tortilla Soup-2001,Tortilla Soup,2001,Remake
Total Recall-2012,Total Recall,2012,Remake
Tom Brown's Schooldays-2005,Tom Brown's Schooldays,2005,Remake
Tom Sawyer & Huckleberry Finn-2014,Tom Sawyer & Huckleberry Finn,2014,Remake
The Tourist-2010,The Tourist,2010,Remake
Tower of London-1962,Tower of London,1962,Remake
The Toy-1982,The Toy,1982,Remake
Trader Horn-1973,Trader Horn,1973,Remake
Treasure Island-2012,Treasure Island,2012,Remake
True Grit-2010,True Grit,2010,Remake
True Lies-1994,True Lies,1994,Remake
The Truth About Charlie-2002,The Truth About Charlie,2002,Remake
Two Much-1996,Two Much,1996,Remake
Under Capricorn-1983,Under Capricorn,1983,Remake
Under Suspicion-2000,Under Suspicion,2000,Remake
The Underneath-1995,The Underneath,1995,Remake
Ganda Hendathi-2006,Ganda Hendathi,2006,Remake
Unfaithfully Yours-1984,Unfaithfully Yours,1984,Remake
The Unfaithful-1947,The Unfaithful,1947,Remake
The Unholy Three-1930,The Unholy Three,1930,Remake
The Unknown Soldier-1985,The Unknown Soldier,1985,Remake
The Upside-2019,The Upside,2019,Remake
Vanilla Sky-2001,Vanilla Sky,2001,Remake
The Vanishing-1993,The Vanishing,1993,Remake
Vanishing Point-1997,Vanishing Point,1997,Remake
Vanity Fair-2018,Vanity Fair,2018,Remake
Victor Frankenstein-2015,Victor Frankenstein,2015,Remake
Victor/Victoria-1982,Victor/Victoria,1982,Remake
Village of the Damned-1995,Village of the Damned,1995,Remake
The Virginian-1946,The Virginian,1946,Remake
Walk Don't Run-1966,Walk Don't Run,1966,Remake
A Walk in the Clouds-1995,A Walk in the Clouds,1995,Remake
Walking Tall-2004,Walking Tall,2004,Remake
The War of the Worlds-2019,The War of the Worlds,2019,Remake
Web of the Spider-1971,Web of the Spider,1971,Remake
We Are Family-2010,We Are Family,2010,Remake
Welcome to Collinwood-2002,Welcome to Collinwood,2002,Remake
We're No Angels-1989,We're No Angels,1989,Remake
What a Girl Wants-2003,What a Girl Wants,2003,Remake
When a Stranger Calls-2006,When a Stranger Calls,2006,Remake
What Ever Happened to Baby Jane?-1991,What Ever Happened to Baby Jane?,1991,Remake
What Men Want-2019,What Men Want,2019,Remake
Where the Boys Are '84-1984,Where the Boys Are '84,1984,Remake
The Wicked Lady-1983,The Wicked Lady,1983,Remake
The Wicker Man-2006,The Wicker Man,2006,Remake
Wicker Park-2004,Wicker Park,2004,Remake
Willard-2003,Willard,2003,Remake
The Winslow Boy-1999,The Winslow Boy,1999,Remake
The Witness-2015,The Witness,2015,Remake
The Wiz-1978,The Wiz,1978,Remake
The Witness for the Prosecution-2016,The Witness for the Prosecution,2016,Remake
The Wolfman-2010,The Wolfman,2010,Remake
The Woman in Black-2012,The Woman in Black,2012,Remake
The Woman in Red-1984,The Woman in Red,1984,Remake
The Woman in White-2018,The Woman in White,2018,Remake
The Women-2008,The Women,2008,Remake
The Yellow Handkerchief-2010,The Yellow Handkerchief,2010,Remake
Yogi-2007,Yogi,2007,Remake
You Can't Run Away from It-1956,You Can't Run Away from It,1956,Remake
"Yours, Mine and Ours-2005","Yours, Mine and Ours",2005,Remake
You're Never Too Young-1955,You're Never Too Young,1955,Remake
You've Got Mail-1998,You've Got Mail,1998,Remake
13 Tzameti-2005,13 Tzameti,2005,Original
Le Corbeau-1943,Le Corbeau,1943,Original
One Hundred and One Dalmatians-1961,One Hundred and One Dalmatians,1961,Original
Two Thousand Maniacs!-1964,Two Thousand Maniacs!,1964,Original
The Three Godfathers-1916,The Three Godfathers,1916,Original
3 Idiots-2009,3 Idiots,2009,Original
3:10 to Yuma-1957,3:10 to Yuma,1957,Original
1984-1953,1984,1953,Original
The General-1926,The General,1926,Original
Free and Easy-1930,Free and Easy,1930,Original
Adventures in Babysitting-1987,Adventures in Babysitting,1987,Original
Love Affair-1939,Love Affair,1939,Original
Out of the Past-1947,Out of the Past,1947,Original
Zero Hour!-1957,Zero Hour!,1957,Original
Aladdin-1992,Aladdin,1992,Original
Alfie-1966,Alfie,1966,Original
Pépé le Moko-1937,Pépé le Moko,1937,Original
All Quiet on the Western Front-1930,All Quiet on the Western Front,1930,Original
A Guy Named Joe-1943,A Guy Named Joe,1943,Original
The Amityville Horror-1979,The Amityville Horror,1979,Original
Love-1927,Love,1927,Original
Et Dieu... créa la femme-1956,Et Dieu... créa la femme,1956,Original
And Soon the Darkness-1970,And Soon the Darkness,1970,Original
Angels in the Outfield-1951,Angels in the Outfield,1951,Original
Angel on My Shoulder-1946,Angel on My Shoulder,1946,Original
Annie-1982,Annie,1982,Original
Thirupaachi-2005,Thirupaachi,2005,Original
Antropophagus-1980,Antropophagus,1980,Original
All About Eve-1950,All About Eve,1950,Original
April Fool's Day-1986,April Fool's Day,1986,Original
Around the World in Eighty Days-1919,Around the World in Eighty Days,1919,Original
The Arena-1974,The Arena,1974,Original
Arthur-1981,Arthur,1981,Original
Assault on Precinct 13-1976,Assault on Precinct 13,1976,Original
Attack of the 50 Foot Woman-1958,Attack of the 50 Foot Woman,1958,Original
Babes in Toyland-1934,Babes in Toyland,1934,Original
Seven Chances-1925,Seven Chances,1925,Original
Back Street-1932,Back Street,1932,Original
The Bad News Bears-1976,The Bad News Bears,1976,Original
The Ballad of Narayama-1958,The Ballad of Narayama,1958,Original
The Bad Seed-1956,The Bad Seed,1956,Original
Bangkok Dangerous-1999,Bangkok Dangerous,1999,Original
Casablanca-1942,Casablanca,1942,Original
The Battle of the Sexes-1914,The Battle of the Sexes,1914,Original
Seven Samurai-1954,Seven Samurai,1954,Original
Fingers-1978,Fingers,1978,Original
Beau Geste-1926,Beau Geste,1926,Original
Beauty and the Beast-1991,Beauty and the Beast,1991,Original
Bedazzled-1967,Bedazzled,1967,Original
The Beguiled-1971,The Beguiled,1971,Original
Adorable Julia-1964,Adorable Julia,1964,Original
Ben-Hur-1925,Ben-Hur,1925,Original
Beongeoli Sam-ryong-1929,Beongeoli Sam-ryong,1929,Original
A Precocious Girl-1934,A Precocious Girl,1934,Original
Beyond a Reasonable Doubt-1956,Beyond a Reasonable Doubt,1956,Original
House of Strangers-1949,House of Strangers,1949,Original
The Big Sleep-1946,The Big Sleep,1946,Original
La Cage aux Folles-1978,La Cage aux Folles,1978,Original
Washington Merry-Go-Round-1932,Washington Merry-Go-Round,1932,Original
Little Caesar-1931,Little Caesar,1931,Original
Black Christmas-1974,Black Christmas,1974,Original
Un moment d'egarement-1977,Un moment d'egarement,1977,Original
The Blob-1958,The Blob,1958,Original
Blood Feast-1963,Blood Feast,1963,Original
The Blue Angel-1930,The Blue Angel,1930,Original
The Blue Bird-1918,The Blue Bird,1918,Original
Born Yesterday-1950,Born Yesterday,1950,Original
Boudu Saved from Drowning-1932,Boudu Saved from Drowning,1932,Original
In the Wake of the Bounty-1933,In the Wake of the Bounty,1933,Original
Time to Kill-1942,Time to Kill,1942,Original
Breathless-1960,Breathless,1960,Original
Brewster's Millions-1914,Brewster's Millions,1914,Original
Bride Wars-2009,Bride Wars,2009,Original
Brian's Song-1971,Brian's Song,1971,Original
Broken Blossoms-1919,Broken Blossoms,1919,Original
Brødre-2004,Brødre,2004,Original
The Browning Version-1951,The Browning Version,1951,Original
A Bucket of Blood-1959,A Bucket of Blood,1959,Original
L'Emmerdeur-1973,L'Emmerdeur,1973,Original
The Buccaneer-1938,The Buccaneer,1938,Original
The Burmese Harp-1956,The Burmese Harp,1956,Original
Cabin Fever-2002,Cabin Fever,2002,Original
The Cabinet of Dr. Caligari-1920,The Cabinet of Dr. Caligari,1920,Original
The Kennel Murder Case-1933,The Kennel Murder Case,1933,Original
The Call of the Wild-1923,The Call of the Wild,1923,Original
Cape Fear-1962,Cape Fear,1962,Original
The Captain's Table-1959,The Captain's Table,1959,Original
Carnival of Souls-1962,Carnival of Souls,1962,Original
Carrie-1976,Carrie,1976,Original
Casino Royale-1954,Casino Royale,1954,Original
The Cat and the Canary-1927,The Cat and the Canary,1927,Original
Cat People-1942,Cat People,1942,Original
Liliom-1930,Liliom,1930,Original
The Champ-1931,The Champ,1931,Original
Cheaper by the Dozen-1950,Cheaper by the Dozen,1950,Original
Chicago-1927,Chicago,1927,Original
Child's Play-1988,Child's Play,1988,Original
These Three-1936,These Three,1936,Original
Nathalie...-2004,Nathalie...,2004,Original
"Scrooge, or, Marley's Ghost-1901","Scrooge, or, Marley's Ghost",1901,Original
Christmas in Connecticut-1945,Christmas in Connecticut,1945,Original
Cinderella-1950,Cinderella,1950,Original
Der Himmel über Berlin or Wings of Desire-1987,Der Himmel über Berlin or Wings of Desire,1987,Original
Clash of the Titans-1981,Clash of the Titans,1981,Original
Classmates-2006,Classmates,2006,Original
The Window-1949,The Window,1949,Original
The Computer Wore Tennis Shoes-1969,The Computer Wore Tennis Shoes,1969,Original
"Cousin, cousine-1975","Cousin, cousine",1975,Original
Conan the Barbarian-1982,Conan the Barbarian,1982,Original
Monte Cristo-1922,Monte Cristo,1922,Original
Big Deal on Madonna Street-1958,Big Deal on Madonna Street,1958,Original
The Crazies-1973,The Crazies,1973,Original
The Mayor of Hell-1933,The Mayor of Hell,1933,Original
Nueve reinas-2000,Nueve reinas,2000,Original
D.O.A.-1950,D.O.A.,1950,Original
Dark Victory-1939,Dark Victory,1939,Original
Dark Water-2002,Dark Water,2002,Original
David Copperfield-1935,David Copperfield,1935,Original
Dawn of the Dead-1978,Dawn of the Dead,1978,Original
The Dawn Patrol-1930,The Dawn Patrol,1930,Original
Day of the Dead-1985,Day of the Dead,1985,Original
The Day the Earth Stood Still-1951,The Day the Earth Stood Still,1951,Original
Sanders of the River-1935,Sanders of the River,1935,Original
My Name Is Julia Ross-1945,My Name Is Julia Ross,1945,Original
Death at a Funeral-2007,Death at a Funeral,2007,Original
Death Race 2000-1975,Death Race 2000,1975,Original
Death Wish-1974,Death Wish,1974,Original
The Debt-2007,The Debt,2007,Original
The Defiant Ones-1958,The Defiant Ones,1958,Original
Infernal Affairs-2002,Infernal Affairs,2002,Original
Happy Days in Aranjuez-1933,Happy Days in Aranjuez,1933,Original
The Desperate Hours-1955,The Desperate Hours,1955,Original
Destry Rides Again-1932,Destry Rides Again,1932,Original
Le Deuxième Souffle-1966,Le Deuxième Souffle,1966,Original
Les Diaboliques-1955,Les Diaboliques,1955,Original
The Barker-1928,The Barker,1928,Original
Bedtime Story-1964,Bedtime Story,1964,Original
Dr. Jekyll and Mr. Hyde-1931,Dr. Jekyll and Mr. Hyde,1931,Original
Dr. Mabuse the Gambler-1922,Dr. Mabuse the Gambler,1922,Original
The Mask of Fu Manchu-1932,The Mask of Fu Manchu,1932,Original
Don-1978,Don,1978,Original
A Dog of Flanders-1959,A Dog of Flanders,1959,Original
Don Quixote-1933,Don Quixote,1933,Original
The Picture of Dorian Gray-1945,The Picture of Dorian Gray,1945,Original
De Lift-1983,De Lift,1983,Original
Boudu sauvé des eaux-1932,Boudu sauvé des eaux,1932,Original
Here Comes Mr. Jordan-1941,Here Comes Mr. Jordan,1941,Original
Dracula-1931,Dracula,1931,Original
Not So Dumb-1930,Not So Dumb,1930,Original
Dumbo-1941,Dumbo,1941,Original
East of Eden-1955,East of Eden,1955,Original
Easy Virtue-1928,Easy Virtue,1928,Original
Sigaw-2004,Sigaw,2004,Original
"Louis 19, King of the Airwaves-Louis 19, le roi des ondes","Louis 19, King of the Airwaves","Louis 19, le roi des ondes",Original
Chinthamani Kolacase-2006,Chinthamani Kolacase,2006,Original
Endless Love-1981,Endless Love,1981,Original
Maskerade-1934,Maskerade,1934,Original
The Evil Dead-1981,The Evil Dead,1981,Original
The Eye-2002,The Eye,2002,Original
A Trip to the Moon-1902,A Trip to the Moon,1902,Original
The Ten Commandments-1923,The Ten Commandments,1923,Original
Das Experiment-2001,Das Experiment,2001,Original
Fame-1980,Fame,1980,Original
The Falcon Takes Over-1942,The Falcon Takes Over,1942,Original
The Farmer Takes a Wife-1935,The Farmer Takes a Wife,1935,Original
The Farmer's Wife-1928,The Farmer's Wife,1928,Original
Diversion-1980,Diversion,1980,Original
Father of the Bride-1950,Father of the Bride,1950,Original
Father's Little Dividend-1951,Father's Little Dividend,1951,Original
Les Compères-1983,Les Compères,1983,Original
Ruggles of Red Gap-1935,Ruggles of Red Gap,1935,Original
FC Venus-2005,FC Venus,2005,Original
Kiss of Death-1947,Kiss of Death,1947,Original
The Firm-1988,The Firm,1988,Original
Yojimbo-1961,Yojimbo,1961,Original
Five Came Back-1939,Five Came Back,1939,Original
Flatliners-1990,Flatliners,1990,Original
The Flight of the Phoenix-1965,The Flight of the Phoenix,1965,Original
Flipper-1963,Flipper,1963,Original
A Story of Floating Weeds-1934,A Story of Floating Weeds,1934,Original
The Absent-Minded Professor-1961,The Absent-Minded Professor,1961,Original
The Fly-1958,The Fly,1958,Original
The Fog-1980,The Fog,1980,Original
Footloose-1984,Footloose,1984,Original
The Golden Chance-1915,The Golden Chance,1915,Original
Captain Blood-1924,Captain Blood,1924,Original
Freaky Friday-1976,Freaky Friday,1976,Original
Frenchman's Creek-1944,Frenchman's Creek,1944,Original
Friday the 13th-1980,Friday the 13th,1980,Original
Fright Night-1985,Fright Night,1985,Original
The Front Page-1931,The Front Page,1931,Original
Fun with Dick and Jane-1977,Fun with Dick and Jane,1977,Original
Funny Games-1997,Funny Games,1997,Original
Waterloo Bridge-1931,Waterloo Bridge,1931,Original
Gambit-1966,Gambit,1966,Original
The Gambler-1974,The Gambler,1974,Original
Gaslight-1940,Gaslight,1940,Original
Get Carter-1971,Get Carter,1971,Original
The Getaway-1972,The Getaway,1972,Original
The Lives of a Bengal Lancer-1935,The Lives of a Bengal Lancer,1935,Original
Kaakha Kaakha-2003,Kaakha Kaakha,2003,Original
Ghostbusters-1984,Ghostbusters,1984,Original
Don't Look Up-1996,Don't Look Up,1996,Original
Gloria-1980,Gloria,1980,Original
Gojira-1954,Gojira,1954,Original
Going in Style-1979,Going in Style,1979,Original
Gone in 60 Seconds-1974,Gone in 60 Seconds,1974,Original
The Good Companions-1933,The Good Companions,1933,Original
"I Was Born, But...-1932","I Was Born, But...",1932,Original
The Goodbye Girl-1977,The Goodbye Girl,1977,Original
"Goodbye, Mr. Chips-1939","Goodbye, Mr. Chips",1939,Original
The Great Gatsby-1926,The Great Gatsby,1926,Original
Great Expectations-1917,Great Expectations,1917,Original
Waltzes from Vienna-1934,Waltzes from Vienna,1934,Original
To Have and Have Not-1944,To Have and Have Not,1944,Original
Guess Who's Coming to Dinner-1967,Guess Who's Coming to Dinner,1967,Original
Gulliver's Travels-1939,Gulliver's Travels,1939,Original
Halloween-1978,Halloween,1978,Original
The Beast with Five Fingers-1946,The Beast with Five Fingers,1946,Original
The Hands of Orlac-1924,The Hands of Orlac,1924,Original
La bonne année-1973,La bonne année,1973,Original
Harakiri-1962,Harakiri,1962,Original
Craig's Wife-1936,Craig's Wife,1936,Original
The Hasty Heart-1949,The Hasty Heart,1949,Original
The Haunting-1963,The Haunting,1963,Original
Hodet over vannet-1993,Hodet over vannet,1993,Original
The Heartbreak Kid-1972,The Heartbreak Kid,1972,Original
Heart of Darkness-1958,Heart of Darkness,1958,Original
L.A. Takedown-1989,L.A. Takedown,1989,Original
High Noon-1952,High Noon,1952,Original
The Philadelphia Story-1940,The Philadelphia Story,1940,Original
The Hills Have Eyes-1977,The Hills Have Eyes,1977,Original
The Hitcher-1986,The Hitcher,1986,Original
Holiday-1930,Holiday,1930,Original
The Incredible Journey-1963,The Incredible Journey,1963,Original
The Horn Blows at Midnight-1945,The Horn Blows at Midnight,1945,Original
The Hound of the Baskervilles-1937,The Hound of the Baskervilles,1937,Original
Mystery of the Wax Museum-1933,Mystery of the Wax Museum,1933,Original
House on Haunted Hill-1959,House on Haunted Hill,1959,Original
How to Make a Monster-1958,How to Make a Monster,1958,Original
Huckleberry Finn-1920,Huckleberry Finn,1920,Original
The Hunchback of Notre Dame-1923,The Hunchback of Notre Dame,1923,Original
The Hurricane-1937,The Hurricane,1937,Original
The Last Man on Earth-1964,The Last Man on Earth,1964,Original
High Sierra-1941,High Sierra,1941,Original
I Married a Monster from Outer Space-1958,I Married a Monster from Outer Space,1958,Original
The Informer-1929,The Informer,1929,Original
Inherit the Wind-1960,Inherit the Wind,1960,Original
I Saw What You Did-1965,I Saw What You Did,1965,Original
I Spit on Your Grave-1978,I Spit on Your Grave,1978,Original
I Want to Live!-1958,I Want to Live!,1958,Original
Ice Castles-1978,Ice Castles,1978,Original
Premier rendez-vous-1941,Premier rendez-vous,1941,Original
Imitation of Life-1934,Imitation of Life,1934,Original
Homecoming to Happiness-1933,Homecoming to Happiness,1933,Original
The Children of Captain Grant-1936,The Children of Captain Grant,1936,Original
Indiscretion of an American Wife-1953,Indiscretion of an American Wife,1953,Original
The Initiation of Sarah-1978,The Initiation of Sarah,1978,Original
The In-Laws-1979,The In-Laws,1979,Original
Insomnia-1997,Insomnia,1997,Original
Les choses de la vie-1970,Les choses de la vie,1970,Original
Intermezzo-1936,Intermezzo,1936,Original
Interview-2003,Interview,2003,Original
Invaders from Mars-1953,Invaders from Mars,1953,Original
Invasion of the Body Snatchers-1956,Invasion of the Body Snatchers,1956,Original
Irma la Douce-1963,Irma la Douce,1963,Original
Rashomon-1950,Rashomon,1950,Original
L'ile d'épouvante-1911,L'ile d'épouvante,1911,Original
The Italian Job-1969,The Italian Job,1969,Original
It's Alive-1974,It's Alive,1974,Original
The Last Man on Earth-1924,The Last Man on Earth,1924,Original
The Day of the Jackal-1973,The Day of the Jackal,1973,Original
Jacob the Liar-1975,Jacob the Liar,1975,Original
Jamaica Inn-1939,Jamaica Inn,1939,Original
Jane Eyre-1934,Jane Eyre,1934,Original
The Jazz Singer-1927,The Jazz Singer,1927,Original
Jigoku-1960,Jigoku,1960,Original
Journey into Fear-1943,Journey into Fear,1943,Original
Journey's End-1930,Journey's End,1930,Original
Jungle Book-1942,Jungle Book,1942,Original
Un indien dans la ville-1994,Un indien dans la ville,1994,Original
Les Visiteurs-1993,Les Visiteurs,1993,Original
Nihon Chinbotsu-1973,Nihon Chinbotsu,1973,Original
The Karate Kid-1984,The Karate Kid,1984,Original
Kidnapped-1938,Kidnapped,1938,Original
King Kong-1933,King Kong,1933,Original
King Solomon's Mines-1937,King Solomon's Mines,1937,Original
A Connecticut Yankee in King Arthur's Court-1921,A Connecticut Yankee in King Arthur's Court,1921,Original
A Kiss Before Dying-1956,A Kiss Before Dying,1956,Original
Dona Flor e Seus Dois Maridos-1976,Dona Flor e Seus Dois Maridos,1976,Original
The Secret Hour-1928,The Secret Hour,1928,Original
Death Game-1977,Death Game,1977,Original
West of Zanzibar-1928,West of Zanzibar,1928,Original
Lady and the Tramp-1955,Lady and the Tramp,1955,Original
The Ladykillers-1955,The Ladykillers,1955,Original
The Lady Vanishes-1938,The Lady Vanishes,1938,Original
Il Mare-2000,Il Mare,2000,Original
The Land That Time Forgot-1975,The Land That Time Forgot,1975,Original
Last Holiday-1950,Last Holiday,1950,Original
The Virgin Spring-1960,The Virgin Spring,1960,Original
L'ultimo bacio-2001,L'ultimo bacio,2001,Original
The Last Hurrah-1958,The Last Hurrah,1958,Original
The Last of the Mohicans-1920,The Last of the Mohicans,1920,Original
Les Misérables-1934,Les Misérables,1934,Original
Let The Right One In-2008,Let The Right One In,2008,Original
The Lion King-1994,The Lion King,1994,Original
Little Fugitive-1953,Little Fugitive,1953,Original
Little Miss Marker-1934,Little Miss Marker,1934,Original
The Little Shop of Horrors-1960,The Little Shop of Horrors,1960,Original
Little Women-1933,Little Women,1933,Original
The Lodger-1927,The Lodger,1927,Original
Loft-2008,Loft,2008,Original
LOL-Laughing Out Loud,LOL,Laughing Out Loud,Original
The Longest Yard-1974,The Longest Yard,1974,Original
His Royal Slyness-1920,His Royal Slyness,1920,Original
"The Long, Hot Summer-1958","The Long, Hot Summer",1958,Original
Le Jour se lève-1939,Le Jour se lève,1939,Original
Lost Horizon-1937,Lost Horizon,1937,Original
The Lost World-1925,The Lost World,1925,Original
Can’t Buy Me Love-1987,Can’t Buy Me Love,1987,Original
Swamp Water-1941,Swamp Water,1941,Original
M-1931,M,1931,Original
Mädchen in Uniform-1931,Mädchen in Uniform,1931,Original
Murder!-1930,Murder!,1930,Original
Pampered Youth-1925,Pampered Youth,1925,Original
Magnificent Obsession-1935,Magnificent Obsession,1935,Original
I Am Sam-2001,I Am Sam,2001,Original
The Private War of Major Benson-1955,The Private War of Major Benson,1955,Original
The Maltese Falcon-1931,The Maltese Falcon,1931,Original
The Iron Mask-1929,The Iron Mask,1929,Original
Le Grand Blond avec une chaussure noire-1972,Le Grand Blond avec une chaussure noire,1972,Original
The Man Who Knew Too Much-1934,The Man Who Knew Too Much,1934,Original
L'Homme qui aimait les femmes-1977,L'Homme qui aimait les femmes,1977,Original
The Manchurian Candidate-1962,The Manchurian Candidate,1962,Original
Manichitrathazhu-1993,Manichitrathazhu,1993,Original
Marcelino Pan y Vino-1955,Marcelino Pan y Vino,1955,Original
Marilyn Hotchkiss' Ballroom Dancing and Charm School-1990,Marilyn Hotchkiss' Ballroom Dancing and Charm School,1990,Original
London After Midnight-1927,London After Midnight,1927,Original
The Mark of Zorro-1920,The Mark of Zorro,1920,Original
Martyrs-2008,Martyrs,2008,Original
Midnight-1939,Midnight,1939,Original
The Mechanic-1972,The Mechanic,1972,Original
Death Takes a Holiday-1934,Death Takes a Holiday,1934,Original
Meet Me in St. Louis-1944,Meet Me in St. Louis,1944,Original
La vie continue-1981,La vie continue,1981,Original
It's a Wonderful Life-1946,It's a Wonderful Life,1946,Original
The Merry Widow-1925,The Merry Widow,1925,Original
Merton of the Movies-1924,Merton of the Movies,1924,Original
Bicycle Thieves-1948,Bicycle Thieves,1948,Original
Mighty Joe Young-1949,Mighty Joe Young,1949,Original
Miracle on 34th Street-1947,Miracle on 34th Street,1947,Original
The Miracle Man-1919,The Miracle Man,1919,Original
Le Mariage a Deux Faces-1959,Le Mariage a Deux Faces,1959,Original
Into the Mirror-2003,Into the Mirror,2003,Original
Miss Granny-2014,Miss Granny,2014,Original
Le Père Noël est une ordure-1982,Le Père Noël est une ordure,1982,Original
The Sea Beast-1926,The Sea Beast,1926,Original
Red Dust-1932,Red Dust,1932,Original
Mr. Blandings Builds His Dream House-1948,Mr. Blandings Builds His Dream House,1948,Original
The Magnificent Fraud-1939,The Magnificent Fraud,1939,Original
The Monkey's Paw-1923,The Monkey's Paw,1923,Original
Mother's Day-1980,Mother's Day,1980,Original
My Favorite Wife-1940,My Favorite Wife,1940,Original
Mr. Deeds Goes to Town-1936,Mr. Deeds Goes to Town,1936,Original
No Man of Her Own-1950,No Man of Her Own,1950,Original
The Mummy-1932,The Mummy,1932,Original
Munna Bhai M.B.B.S.-2003,Munna Bhai M.B.B.S.,2003,Original
Murder on the Orient Express-1974,Murder on the Orient Express,1974,Original
The Music Man-1962,The Music Man,1962,Original
My Bloody Valentine-1981,My Bloody Valentine,1981,Original
My Cousin Rachel-1952,My Cousin Rachel,1952,Original
Frontier Marshal-1934,Frontier Marshal,1934,Original
Pygmalion-1938,Pygmalion,1938,Original
"Mon père, ce héros-1991","Mon père, ce héros",1991,Original
My Man Godfrey-1936,My Man Godfrey,1936,Original
The Mysterious Island-1929,The Mysterious Island,1929,Original
Super Mario Bros-1993,Super Mario Bros,1993,Original
Autograph-2004,Autograph,2004,Original
Dracula's Daughter-1936,Dracula's Daughter,1936,Original
Thunderball-1965,Thunderball,1965,Original
Anything for Her-2008,Anything for Her,2008,Original
Night and the City-1950,Night and the City,1950,Original
Night Must Fall-1937,Night Must Fall,1937,Original
The Night of the Hunter-1955,The Night of the Hunter,1955,Original
A Nightmare on Elm Street-1984,A Nightmare on Elm Street,1984,Original
Night of the Demons-1988,Night of the Demons,1988,Original
Night of the Living Dead-1968,Night of the Living Dead,1968,Original
Nattevagten-1994,Nattevagten,1994,Original
Neuf mois-1994,Neuf mois,1994,Original
Mostly Martha-2001,Mostly Martha,2001,Original
Nosferatu-1922,Nosferatu,1922,Original
The Big Clock-1948,The Big Clock,1948,Original
Not of This Earth-1957,Not of This Earth,1957,Original
Notorious-1946,Notorious,1946,Original
Nueve Reinas-2000,Nueve Reinas,2000,Original
The Nutty Professor-1963,The Nutty Professor,1963,Original
Ocean's 11-1960,Ocean's 11,1960,Original
It Started with Eve-1941,It Started with Eve,1941,Original
Of Human Bondage-1934,Of Human Bondage,1934,Original
Of Mice and Men-1939,Of Mice and Men,1939,Original
The Old Dark House-1932,The Old Dark House,1932,Original
Oldboy-2003,Oldboy,2003,Original
Oliver Twist-1922,Oliver Twist,1922,Original
The Omen-1976,The Omen,1976,Original
On the Beach-1959,On the Beach,1959,Original
One Missed Call-Chakushin Ari,One Missed Call,Chakushin Ari,Original
One Sunday Afternoon-1933,One Sunday Afternoon,1933,Original
The Prisoner of Shark Island-1936,The Prisoner of Shark Island,1936,Original
Black Orpheus-1959,Black Orpheus,1959,Original
La Sirène du Mississipi-1969,La Sirène du Mississipi,1969,Original
The Two Orphans-1915,The Two Orphans,1915,Original
Oscar-1967,Oscar,1967,Original
The Out-of-Towners-1970,The Out-of-Towners,1970,Original
Overboard-1987,Overboard,1987,Original
A Yank at Oxford-1938,A Yank at Oxford,1938,Original
Rendezvous-1935,Rendezvous,1935,Original
Papillon-1973,Papillon,1973,Original
Le grand chemin-1987,Le grand chemin,1987,Original
Twice Upon a Time-1953,Twice Upon a Time,1953,Original
Le Dernier Tournant-1939,Le Dernier Tournant,1939,Original
Ofelas-1987,Ofelas,1987,Original
Shanghai Express-1932,Shanghai Express,1932,Original
Dial M for Murder-1954,Dial M for Murder,1954,Original
Pet Sematary-1989,Pet Sematary,1989,Original
