Movie ID,Title,Year,Type
Day of the Dead-2008,Day of the Dead,2008,Remake
The Day the Earth Stood Still-2008,The Day the Earth Stood Still,2008,Remake
Death Drums Along the River-1963,Death Drums Along the River,1963,Remake
Dead of Winter-1987,Dead of Winter,1987,Remake
Death at a Funeral-2010,Death at a Funeral,2010,Remake
Death Race-2008,Death Race,2008,Remake
Death Wish-2018,Death Wish,2018,Remake
The Debt-2011,The Debt,2011,Remake
The Defiant Ones-1986,The Defiant Ones,1986,Remake
The Departed-2006,The Departed,2006,Remake
Desire-1936,Desire,1936,Remake
Desperate Hours-1990,Desperate Hours,1990,Remake
Destry-1954,Destry,1954,Remake
Le Deuxième Souffle-2007,Le Deuxième Souffle,2007,Remake
Diabolique-1996,Diabolique,1996,Remake
Diamond Horseshoe-1945,Diamond Horseshoe,1945,Remake
Dirty Rotten Scoundrels-1988,Dirty Rotten Scoundrels,1988,Remake
Dr. Jekyll and Mr. Hyde-1941,Dr. Jekyll and Mr. Hyde,1941,Remake
Dr. M-1990,Dr. M,1990,Remake
Drums of Fu Manchu-1940,Drums of Fu Manchu,1940,Remake
Billa-2009,Billa,2009,Remake
A Dog of Flanders-1999,A Dog of Flanders,1999,Remake
Don Quixote-2000,Don Quixote,2000,Remake
Dorian Gray-2009,Dorian Gray,2009,Remake
Down-2001,Down,2001,Remake
Down and Out in Beverly Hills-1986,Down and Out in Beverly Hills,1986,Remake
Down to Earth-2001,Down to Earth,2001,Remake
Dracula-2006,Dracula,2006,Remake
Dulcy-1940,Dulcy,1940,Remake
Dumbo-2019,Dumbo,2019,Remake
East of Eden-1981,East of Eden,1981,Remake
Easy Virtue-2008,Easy Virtue,2008,Remake
The Echo-2008,The Echo,2008,Remake
EDtv-1999,EDtv,1999,Remake
Ellam Avan Seyal-2008,Ellam Avan Seyal,2008,Remake
Endless Love-2014,Endless Love,2014,Remake
Escapade-1935,Escapade,1935,Remake
Evil Dead-2013,Evil Dead,2013,Remake
The Eye-2008,The Eye,2008,Remake
Excursion to the Moon-1908,Excursion to the Moon,1908,Remake
Exodus: Gods and Kings-2014,Exodus: Gods and Kings,2014,Remake
The Experiment-2010,The Experiment,2010,Remake
Fame-2009,Fame,2009,Remake
"Farewell, My Lovely-1975","Farewell, My Lovely",1975,Remake
The Farmer Takes a Wife-1953,The Farmer Takes a Wife,1953,Remake
The Farmer's Wife-1941,The Farmer's Wife,1941,Remake
Fatal Attraction-1987,Fatal Attraction,1987,Remake
Father of the Bride-1991,Father of the Bride,1991,Remake
Father of the Bride Part II-1995,Father of the Bride Part II,1995,Remake
Fathers' Day-1997,Fathers' Day,1997,Remake
Fancy Pants-1950,Fancy Pants,1950,Remake
FC Venus-2006,FC Venus,2006,Remake
The Fiend Who Walked the West-1958,The Fiend Who Walked the West,1958,Remake
The Firm-2009,The Firm,2009,Remake
A Fistful of Dollars/Per un pugno di dollari-1964,A Fistful of Dollars/Per un pugno di dollari,1964,Remake
Back from Eternity-1956,Back from Eternity,1956,Remake
Flatliners-2017,Flatliners,2017,Remake
Fled-1996,Fled,1996,Remake
Flight of the Phoenix-2004,Flight of the Phoenix,2004,Remake
Flipper-1996,Flipper,1996,Remake
Floating Weeds-1959,Floating Weeds,1959,Remake
Flubber-1997,Flubber,1997,Remake
The Fly-1986,The Fly,1986,Remake
The Fog-2005,The Fog,2005,Remake
Footloose-2011,Footloose,2011,Remake
Forbidden Fruit-1921,Forbidden Fruit,1921,Remake
Fortunes of Captain Blood-1950,Fortunes of Captain Blood,1950,Remake
Freaky Friday-2018,Freaky Friday,2018,Remake
Frenchman's Creek-1998,Frenchman's Creek,1998,Remake
Friday the 13th-2009,Friday the 13th,2009,Remake
Fright Night-2011,Fright Night,2011,Remake
The Front Page-1974,The Front Page,1974,Remake
Fun with Dick and Jane-2005,Fun with Dick and Jane,2005,Remake
Funny Games-2008,Funny Games,2008,Remake
Gaby-1956,Gaby,1956,Remake
Gambit-2012,Gambit,2012,Remake
The Gambler-2014,The Gambler,2014,Remake
Gaslight-1944,Gaslight,1944,Remake
Get Carter-2000,Get Carter,2000,Remake
The Getaway-1994,The Getaway,1994,Remake
Geronimo-1939,Geronimo,1939,Remake
Gharshana-2004,Gharshana,2004,Remake
Ghostbusters-2016,Ghostbusters,2016,Remake
Ghost Theater-2015,Ghost Theater,2015,Remake
Gloria-1999,Gloria,1999,Remake
Godzilla-1998,Godzilla,1998,Remake
Going in Style-2017,Going in Style,2017,Remake
Gone in 60 Seconds-2000,Gone in 60 Seconds,2000,Remake
The Good Companions-1957,The Good Companions,1957,Remake
Good Morning-1959,Good Morning,1959,Remake
The Goodbye Girl-2004,The Goodbye Girl,2004,Remake
"Goodbye, Mr. Chips-1969","Goodbye, Mr. Chips",1969,Remake
The Great Gatsby-2013,The Great Gatsby,2013,Remake
Great Expectations-2012,Great Expectations,2012,Remake
The Great Waltz-1972,The Great Waltz,1972,Remake
The Gun Runners-1958,The Gun Runners,1958,Remake
Guess Who-2005,Guess Who,2005,Remake
Gulliver's Travels-2010,Gulliver's Travels,2010,Remake
Halloween-2007,Halloween,2007,Remake
The Hand-1981,The Hand,1981,Remake
The Hands of Orlac-1960,The Hands of Orlac,1960,Remake
Happy New Year-1987,Happy New Year,1987,Remake
Hara-Kiri: Death of a Samurai-2011,Hara-Kiri: Death of a Samurai,2011,Remake
Harriet Craig-1950,Harriet Craig,1950,Remake
The Hasty Heart-1983,The Hasty Heart,1983,Remake
The Haunting-1999,The Haunting,1999,Remake
Head Above Water-1996,Head Above Water,1996,Remake
The Heartbreak Kid-2007,The Heartbreak Kid,2007,Remake
Heart of Darkness-1993,Heart of Darkness,1993,Remake
Heat-1995,Heat,1995,Remake
High Noon-2000,High Noon,2000,Remake
High Society-1956,High Society,1956,Remake
The Hills Have Eyes-2006,The Hills Have Eyes,2006,Remake
The Hitcher-2007,The Hitcher,2007,Remake
Holiday-1938,Holiday,1938,Remake
Homeward Bound: The Incredible Journey-1993,Homeward Bound: The Incredible Journey,1993,Remake
The Horn Blows at Midnight-1953,The Horn Blows at Midnight,1953,Remake
The Hound of the Baskervilles-2002,The Hound of the Baskervilles,2002,Remake
House of Wax-2005,House of Wax,2005,Remake
House on Haunted Hill-1999,House on Haunted Hill,1999,Remake
How to Make a Monster-2001,How to Make a Monster,2001,Remake
The Adventures of Huck Finn-1993,The Adventures of Huck Finn,1993,Remake
The Hunchback-1997,The Hunchback,1997,Remake
Hurricane-1979,Hurricane,1979,Remake
I Am Legend-2007,I Am Legend,2007,Remake
I Died a Thousand Times-1955,I Died a Thousand Times,1955,Remake
I Married a Monster-1998,I Married a Monster,1998,Remake
The Informer-1935,The Informer,1935,Remake
Inherit the Wind-1999,Inherit the Wind,1999,Remake
I Saw What You Did-1988,I Saw What You Did,1988,Remake
I Spit on Your Grave-2010,I Spit on Your Grave,2010,Remake
I Want to Live!-1983,I Want to Live!,1983,Remake
Ice Castles-2010,Ice Castles,2010,Remake
Ihr erstes Rendezvous-1955,Ihr erstes Rendezvous,1955,Remake
Imitation of Life-1959,Imitation of Life,1959,Remake
L'impiegata di papà-1934,L'impiegata di papà,1934,Remake
In Search for Captain Grant-1986,In Search for Captain Grant,1986,Remake
Indiscretion of an American Wife-1998,Indiscretion of an American Wife,1998,Remake
The Initiation of Sarah-2006,The Initiation of Sarah,2006,Remake
The In-Laws-2003,The In-Laws,2003,Remake
Insomnia-2002,Insomnia,2002,Remake
Intersection-1994,Intersection,1994,Remake
Intermezzo-1939,Intermezzo,1939,Remake
Interview-2007,Interview,2007,Remake
Invaders from Mars-1986,Invaders from Mars,1986,Remake
The Invasion-2007,The Invasion,2007,Remake
Irma la Douce-1972,Irma la Douce,1972,Remake
Iron Maze-1991,Iron Maze,1991,Remake
The Island of Dr. Moreau-1996,The Island of Dr. Moreau,1996,Remake
The Italian Job-2003,The Italian Job,2003,Remake
It's Alive-2009,It's Alive,2009,Remake
It's Great to Be Alive-1933,It's Great to Be Alive,1933,Remake
The Jackal-1997,The Jackal,1997,Remake
Jakob the Liar-1999,Jakob the Liar,1999,Remake
Jamaica Inn-2014,Jamaica Inn,2014,Remake
Jane Eyre-2011,Jane Eyre,2011,Remake
The Jazz Singer-1980,The Jazz Singer,1980,Remake
Jigoku-1999,Jigoku,1999,Remake
Journey into Fear-1975,Journey into Fear,1975,Remake
Journey's End-2017,Journey's End,2017,Remake
Mowgli: Legend of the Jungle-2018,Mowgli: Legend of the Jungle,2018,Remake
Jungle 2 Jungle-1997,Jungle 2 Jungle,1997,Remake
Just Visiting-2001,Just Visiting,2001,Remake
Nihon Chinbotsu-2006,Nihon Chinbotsu,2006,Remake
The Karate Kid-2010,The Karate Kid,2010,Remake
Kidnapped-2005,Kidnapped,2005,Remake
King Kong-2005,King Kong,2005,Remake
King Solomon's Mines-2004,King Solomon's Mines,2004,Remake
A Kid in King Arthur's Court-1995,A Kid in King Arthur's Court,1995,Remake
A Kiss Before Dying-1991,A Kiss Before Dying,1991,Remake
Kiss Me Goodbye-1982,Kiss Me Goodbye,1982,Remake
Kiss of Death-1995,Kiss of Death,1995,Remake
They Knew What They Wanted-1940,They Knew What They Wanted,1940,Remake
Knock Knock-2015,Knock Knock,2015,Remake
Kongo-1932,Kongo,1932,Remake
Lady and the Tramp-2019,Lady and the Tramp,2019,Remake
The Ladykillers-2004,The Ladykillers,2004,Remake
The Lady Vanishes-2013,The Lady Vanishes,2013,Remake
The Lake House-2006,The Lake House,2006,Remake
The Land That Time Forgot-2009,The Land That Time Forgot,2009,Remake
Last Holiday-2006,Last Holiday,2006,Remake
The Last House on the Left-2009,The Last House on the Left,2009,Remake
The Last Kiss-2006,The Last Kiss,2006,Remake
Last Man Standing-1996,Last Man Standing,1996,Remake
The Last Hurrah-1977,The Last Hurrah,1977,Remake
The Last of the Mohicans-1992,The Last of the Mohicans,1992,Remake
Les Misérables-2018,Les Misérables,2018,Remake
Let Me In-2010,Let Me In,2010,Remake
The Lion King-2019,The Lion King,2019,Remake
Little Fugitive-2006,Little Fugitive,2006,Remake
Little Miss Marker-1980,Little Miss Marker,1980,Remake
Little Shop of Horrors-1986,Little Shop of Horrors,1986,Remake
Little Women-2019,Little Women,2019,Remake
The Lodger-2009,The Lodger,2009,Remake
The Loft-2014,The Loft,2014,Remake
LOL-2012,LOL,2012,Remake
The Longest Yard-2005,The Longest Yard,2005,Remake
Long Fliv the King-1926,Long Fliv the King,1926,Remake
The Long Hot Summer-1985,The Long Hot Summer,1985,Remake
The Long Night-1947,The Long Night,1947,Remake
Lost Horizon-1973,Lost Horizon,1973,Remake
The Lost World-2001,The Lost World,2001,Remake
Love Affair-1994,Love Affair,1994,Remake
Love Don't Cost a Thing-2003,Love Don't Cost a Thing,2003,Remake
Lure of the Wilderness-1952,Lure of the Wilderness,1952,Remake
M-1951,M,1951,Remake
Mädchen in Uniform-1958,Mädchen in Uniform,1958,Remake
Mary-1931,Mary,1931,Remake
The Magnificent Ambersons-2002,The Magnificent Ambersons,2002,Remake
Magnificent Obsession-1954,Magnificent Obsession,1954,Remake
Main Aisa Hi Hoon-2005,Main Aisa Hi Hoon,2005,Remake
Major Payne-1995,Major Payne,1995,Remake
The Maltese Falcon-1941,The Maltese Falcon,1941,Remake
The Man in the Iron Mask-1998,The Man in the Iron Mask,1998,Remake
The Man with One Red Shoe-1985,The Man with One Red Shoe,1985,Remake
The Man Who Knew Too Much-1956,The Man Who Knew Too Much,1956,Remake
The Man Who Loved Women-1983,The Man Who Loved Women,1983,Remake
The Manchurian Candidate-2004,The Manchurian Candidate,2004,Remake
Bhool Bhulaiyaa-2007,Bhool Bhulaiyaa,2007,Remake
"Marcelino Pan y Vino-1979, made-for-TV",Marcelino Pan y Vino,"1979, made-for-TV",Remake
Marilyn Hotchkiss' Ballroom Dancing and Charm School-2005,Marilyn Hotchkiss' Ballroom Dancing and Charm School,2005,Remake
Mark of the Vampire-1935,Mark of the Vampire,1935,Remake
The Mark of Zorro-1974,The Mark of Zorro,1974,Remake
Martyrs-2015,Martyrs,2015,Remake
Masquerade in Mexico-1945,Masquerade in Mexico,1945,Remake
The Mechanic-2011,The Mechanic,2011,Remake
Meet Joe Black-1998,Meet Joe Black,1998,Remake
Meet Me in St. Louis-1966,Meet Me in St. Louis,1966,Remake
Men Don't Leave-1990,Men Don't Leave,1990,Remake
"Merry Christmas, George Bailey-1997","Merry Christmas, George Bailey",1997,Remake
The Merry Widow-1952,The Merry Widow,1952,Remake
Merton of the Movies-1947,Merton of the Movies,1947,Remake
Messenger-1994,Messenger,1994,Remake
Mighty Joe Young-1998,Mighty Joe Young,1998,Remake
Miracle on 34th Street-1994,Miracle on 34th Street,1994,Remake
The Miracle Man-1932,The Miracle Man,1932,Remake
The Mirror Has Two Faces-1996,The Mirror Has Two Faces,1996,Remake
Mirrors-2008,Mirrors,2008,Remake
20 Once Again-2015,20 Once Again,2015,Remake
Mixed Nuts-1994,Mixed Nuts,1994,Remake
Moby Dick-2011,Moby Dick,2011,Remake
Mogambo-1953,Mogambo,1953,Remake
The Money Pit-1986,The Money Pit,1986,Remake
Moon Over Parador-1988,Moon Over Parador,1988,Remake
The Monkey's Paw-1948,The Monkey's Paw,1948,Remake
Mother's Day-2010,Mother's Day,2010,Remake
"Move Over, Darling-1963","Move Over, Darling",1963,Remake
Mr. Deeds-2002,Mr. Deeds,2002,Remake
Mrs. Winterbourne-1996,Mrs. Winterbourne,1996,Remake
The Mummy-1999,The Mummy,1999,Remake
Uppi Dada M.B.B.S.-2006,Uppi Dada M.B.B.S.,2006,Remake
Murder on the Orient Express-2017,Murder on the Orient Express,2017,Remake
The Music Man-2003,The Music Man,2003,Remake
My Bloody Valentine 3D-2009,My Bloody Valentine 3D,2009,Remake
My Cousin Rachel-2017,My Cousin Rachel,2017,Remake
My Darling Clementine-1946,My Darling Clementine,1946,Remake
My Fair Lady-1964,My Fair Lady,1964,Remake
My Father the Hero-1994,My Father the Hero,1994,Remake
My Man Godfrey-1957,My Man Godfrey,1957,Remake
Jules Verne's Mysterious Island-2012,Jules Verne's Mysterious Island,2012,Remake
Untitled Mario remake film-2022,Untitled Mario remake film,2022,Remake
Naa Autograph-2004,Naa Autograph,2004,Remake
Nadja-1994,Nadja,1994,Remake
Naina-2005,Naina,2005,Remake
Never Say Never Again-1983,Never Say Never Again,1983,Remake
The Next Three Days-2010,The Next Three Days,2010,Remake
Night and the City-1992,Night and the City,1992,Remake
Night Must Fall-1964,Night Must Fall,1964,Remake
Night of the Hunter-1991,Night of the Hunter,1991,Remake
A Nightmare on Elm Street-2010,A Nightmare on Elm Street,2010,Remake
Night of the Demons-2009,Night of the Demons,2009,Remake
Night of the Living Dead 3D-2006,Night of the Living Dead 3D,2006,Remake
Nightwatch-1997,Nightwatch,1997,Remake
Nine Months-1995,Nine Months,1995,Remake
No Reservations-2007,No Reservations,2007,Remake
Nosferatu-1979,Nosferatu,1979,Remake
No Way Out-1987,No Way Out,1987,Remake
Not of This Earth-1995,Not of This Earth,1995,Remake
Notorious-1992,Notorious,1992,Remake
All the Best-2012,All the Best,2012,Remake
The Nutty Professor-1996,The Nutty Professor,1996,Remake
Ocean's Eleven-2001,Ocean's Eleven,2001,Remake
Oh Jonathan – oh Jonathan!-1973,Oh Jonathan – oh Jonathan!,1973,Remake
Of Human Bondage-1964,Of Human Bondage,1964,Remake
Of Mice and Men-1992,Of Mice and Men,1992,Remake
The Old Dark House-1963,The Old Dark House,1963,Remake
Oldboy-2013,Oldboy,2013,Remake
Oliver Twist-2007,Oliver Twist,2007,Remake
The Omen-2006,The Omen,2006,Remake
On the Beach-2000,On the Beach,2000,Remake
One Missed Call-2007,One Missed Call,2007,Remake
One Sunday Afternoon-1948,One Sunday Afternoon,1948,Remake
The Ordeal of Dr. Mudd-1980,The Ordeal of Dr. Mudd,1980,Remake
Orfeu-1999,Orfeu,1999,Remake
Original Sin-2001,Original Sin,2001,Remake
Orphans of the Storm-1921,Orphans of the Storm,1921,Remake
Oscar-1991,Oscar,1991,Remake
The Out-of-Towners-1999,The Out-of-Towners,1999,Remake
The Outrage-1964,The Outrage,1964,Remake
Overboard-2018,Overboard,2018,Remake
Oxford Blues-1984,Oxford Blues,1984,Remake
Pacific Rendezvous-1942,Pacific Rendezvous,1942,Remake
Papillon-2018,Papillon,2018,Remake
Paradise-1991,Paradise,1991,Remake
The Parent Trap-1998,The Parent Trap,1998,Remake
Passion-1998,Passion,1998,Remake
Pathfinder-2006,Pathfinder,2006,Remake
Peking Express-1951,Peking Express,1951,Remake
A Perfect Murder-1998,A Perfect Murder,1998,Remake
Pet Sematary-2019,Pet Sematary,2019,Remake
A Place in the Sun-1951,A Place in the Sun,1951,Remake
The Phantom Carriage-1958,The Phantom Carriage,1958,Remake
The Phantom of the Opera-2004,The Phantom of the Opera,2004,Remake
Picnic-2000,Picnic,2000,Remake
Piranha 3-D-2010,Piranha 3-D,2010,Remake
Planet of the Apes-2001,Planet of the Apes,2001,Remake
The Plank-1979,The Plank,1979,Remake
Pocketful of Miracles-1961,Pocketful of Miracles,1961,Remake
Point Break-2015,Point Break,2015,Remake
Point of No Return-1993,Point of No Return,1993,Remake
Poltergeist-2015,Poltergeist,2015,Remake
Porki-2010,Porki,2010,Remake
Poseidon-2006,Poseidon,2006,Remake
The Preacher's Wife-1996,The Preacher's Wife,1996,Remake
Premonition-2007,Premonition,2007,Remake
Pride & Prejudice-2005,Pride & Prejudice,2005,Remake
The Prime Minister-1941,The Prime Minister,1941,Remake
The Prince and the Pauper-2007,The Prince and the Pauper,2007,Remake
The Prisoner of Zenda-1979,The Prisoner of Zenda,1979,Remake
The Producers-2005,The Producers,2005,Remake
Prom Night-2008,Prom Night,2008,Remake
Psycho-1998,Psycho,1998,Remake
Pulse-2006,Pulse,2006,Remake
Quarantine-2008,Quarantine,2008,Remake
The Rainmaker-1982,The Rainmaker,1982,Remake
Ram Gopal Varma Ki Aag-2007,Ram Gopal Varma Ki Aag,2007,Remake
Rangrezz-2013,Rangrezz,2013,Remake
Ransom-1996,Ransom,1996,Remake
The Razor's Edge-1984,The Razor's Edge,1984,Remake
Rear Window-1998,Rear Window,1998,Remake
Red Dawn-2012,Red Dawn,2012,Remake
Rebecca-1997,Rebecca,1997,Remake
The Red Badge of Courage-1974,The Red Badge of Courage,1974,Remake
Red Dragon-2002,Red Dragon,2002,Remake
Reefer Madness-2005,Reefer Madness,2005,Remake
Return to Paradise-1998,Return to Paradise,1998,Remake
Reptilian-1999,Reptilian,1999,Remake
Rich and Famous-1981,Rich and Famous,1981,Remake
Riding High-1950,Riding High,1950,Remake
The Ring-2002,The Ring,2002,Remake
Rio Lobo-1970,Rio Lobo,1970,Remake
Robin Hood-2018,Robin Hood,2018,Remake
RoboCop-2014,RoboCop,2014,Remake
Rock-A-Bye Baby-1958,Rock-A-Bye Baby,1958,Remake
Rollerball-2002,Rollerball,2002,Remake
Rogue Male-1976,Rogue Male,1976,Remake
The Roman Spring of Mrs. Stone-2003,The Roman Spring of Mrs. Stone,2003,Remake
The Roommate-2011,The Roommate,2011,Remake
Run for the Sun-1956,Run for the Sun,1956,Remake
Runaway Daughters-1994,Runaway Daughters,1994,Remake
Sabrina-1995,Sabrina,1995,Remake
Sahara-1995,Sahara,1995,Remake
Satan's School for Girls-2000,Satan's School for Girls,2000,Remake
Saturday's Children-1940,Saturday's Children,1940,Remake
Scandal Maker-2016,Scandal Maker,2016,Remake
The Scapegoat-2012,The Scapegoat,2012,Remake
Scared Stiff-1953,Scared Stiff,1953,Remake
Scarface-1983,Scarface,1983,Remake
Scent of a Woman-1992,Scent of a Woman,1992,Remake
School for Scoundrels-2006,School for Scoundrels,2006,Remake
Séance-2000,Séance,2000,Remake
Sea Wolf-2009,Sea Wolf,2009,Remake
The Secret-2007,The Secret,2007,Remake
Secret in Their Eyes-2015,Secret in Their Eyes,2015,Remake
The Secret Life of Walter Mitty-2013,The Secret Life of Walter Mitty,2013,Remake
Senso '45-2002,Senso '45,2002,Remake
Sergeants 3-1962,Sergeants 3,1962,Remake
Seventh Heaven-1937,Seventh Heaven,1937,Remake
Shadow of a Doubt-1991,Shadow of a Doubt,1991,Remake
Shaft-2000,Shaft,2000,Remake
The Shaggy Dog-2006,The Shaggy Dog,2006,Remake
"Shake, Rattle and Rock!-1994","Shake, Rattle and Rock!",1994,Remake
The Shakiest Gun in the West-1968,The Shakiest Gun in the West,1968,Remake
Shall We Dance-2004,Shall We Dance,2004,Remake
Dr. Nawariyan-2017,Dr. Nawariyan,2017,Remake
Shankar Dada Zindabad-2007,Shankar Dada Zindabad,2007,Remake
She-1965,She,1965,Remake
The Shining-1997,The Shining,1997,Remake
Shiva-2006,Shiva,2006,Remake
Shortcut to Happiness-2007,Shortcut to Happiness,2007,Remake
Show Boat-1951,Show Boat,1951,Remake
Sideways-2009,Sideways,2009,Remake
Silk Stockings-1957,Silk Stockings,1957,Remake
The Sign of the Cross-1932,The Sign of the Cross,1932,Remake
Sleeping Car to Trieste-1948,Sleeping Car to Trieste,1948,Remake
So Big-1953,So Big,1953,Remake
Solaris-2002,Solaris,2002,Remake
Solstice-2008,Solstice,2008,Remake
A Song Is Born-1948,A Song Is Born,1948,Remake
Sorcerer-1977,Sorcerer,1977,Remake
Sorority Row-2009,Sorority Row,2009,Remake
The Sound and the Fury-2014,The Sound and the Fury,2014,Remake
Spring Parade-1940,Spring Parade,1940,Remake
