Movie ID,Original Title,Original Year,Original IMDb ID
The Mayor of Hell-1933,The Mayor of Hell,1933,tt0024314
Nueve reinas-2000,Nueve reinas,2000,
D.O.A.-1950,D.O.A.,1950,
Dark Victory-1939,Dark Victory,1939,tt0031210
Dark Water-2002,Dark Water,2002,tt0308379
David Copperfield-1935,David Copperfield,1935,tt0026266
Dawn of the Dead-1978,Dawn of the Dead,1978,tt0077402
The Dawn Patrol-1930,The Dawn Patrol,1930,tt0020815
Day of the Dead-1985,Day of the Dead,1985,tt0088993
The Day the Earth Stood Still-1951,The Day the Earth Stood Still,1951,tt0043456
Sanders of the River-1935,Sanders of the River,1935,tt0026966
My Name Is Julia Ross-1945,My Name Is Julia Ross,1945,tt0037932
Death at a Funeral-2007,Death at a Funeral,2007,tt0795368
Death Race 2000-1975,Death Race 2000,1975,tt0072856
Death Wish-1974,Death Wish,1974,tt0071402
The Debt-2007,The Debt,2007,tt0990427
The Defiant Ones-1958,The Defiant Ones,1958,tt0051525
Infernal Affairs-2002,Infernal Affairs,2002,tt0338564
Happy Days in Aranjuez-1933,Happy Days in Aranjuez,1933,
The Desperate Hours-1955,The Desperate Hours,1955,tt0047985
Destry Rides Again-1932,Destry Rides Again,1932,tt0022810
Le Deuxième Souffle-1966,Le Deuxième Souffle,1966,tt0060305
Les Diaboliques-1955,Les Diaboliques,1955,
The Barker-1928,The Barker,1928,tt0018674
Bedtime Story-1964,Bedtime Story,1964,tt0057878
Dr. Jekyll and Mr. Hyde-1931,Dr. Jekyll and Mr. Hyde,1931,tt0022835
Dr. Mabuse the Gambler-1922,Dr. Mabuse the Gambler,1922,tt0013086
The Mask of Fu Manchu-1932,The Mask of Fu Manchu,1932,tt0023194
Don-1978,Don,1978,tt0077451
A Dog of Flanders-1959,A Dog of Flanders,1959,
Don Quixote-1933,Don Quixote,1933,
The Picture of Dorian Gray-1945,The Picture of Dorian Gray,1945,tt0037988
De Lift-1983,De Lift,1983,
Boudu sauvé des eaux-1932,Boudu sauvé des eaux,1932,
Here Comes Mr. Jordan-1941,Here Comes Mr. Jordan,1941,tt0033712
Dracula-1931,Dracula,1931,tt0021814
Not So Dumb-1930,Not So Dumb,1930,tt0021189
Dumbo-1941,Dumbo,1941,tt0033563
East of Eden-1955,East of Eden,1955,tt0048028
Easy Virtue-1928,Easy Virtue,1928,tt0017843
Sigaw-2004,Sigaw,2004,
"Louis 19, King of the Airwaves-Louis 19, le roi des ondes","Louis 19, King of the Airwaves","Louis 19, le roi des ondes",
Chinthamani Kolacase-2006,Chinthamani Kolacase,2006,tt0882759
Endless Love-1981,Endless Love,1981,tt0082329
Maskerade-1934,Maskerade,1934,
The Evil Dead-1981,The Evil Dead,1981,tt0083907
The Eye-2002,The Eye,2002,tt0325655
A Trip to the Moon-1902,A Trip to the Moon,1902,tt0000417
The Ten Commandments-1923,The Ten Commandments,1923,tt0014532
Das Experiment-2001,Das Experiment,2001,
Fame-1980,Fame,1980,tt0080716
The Falcon Takes Over-1942,The Falcon Takes Over,1942,tt0034716
The Farmer Takes a Wife-1935,The Farmer Takes a Wife,1935,tt0026338
The Farmer's Wife-1928,The Farmer's Wife,1928,tt0018876
Diversion-1980,Diversion,1980,tt0330222
Father of the Bride-1950,Father of the Bride,1950,tt0042451
Father's Little Dividend-1951,Father's Little Dividend,1951,tt0043526
Les Compères-1983,Les Compères,1983,
Ruggles of Red Gap-1935,Ruggles of Red Gap,1935,tt0026955
FC Venus-2005,FC Venus,2005,tt0453365
Kiss of Death-1947,Kiss of Death,1947,tt0039536
The Firm-1988,The Firm,1988,
Yojimbo-1961,Yojimbo,1961,tt0055630
Five Came Back-1939,Five Came Back,1939,tt0031314
Flatliners-1990,Flatliners,1990,tt0099582
The Flight of the Phoenix-1965,The Flight of the Phoenix,1965,tt0059183
Flipper-1963,Flipper,1963,tt0057063
A Story of Floating Weeds-1934,A Story of Floating Weeds,1934,tt0025929
The Absent-Minded Professor-1961,The Absent-Minded Professor,1961,
The Fly-1958,The Fly,1958,tt0051622
The Fog-1980,The Fog,1980,tt0080749
Footloose-1984,Footloose,1984,tt0087277
The Golden Chance-1915,The Golden Chance,1915,tt0005402
Captain Blood-1924,Captain Blood,1924,tt0014759
Freaky Friday-1976,Freaky Friday,1976,tt0076054
Frenchman's Creek-1944,Frenchman's Creek,1944,tt0036840
Friday the 13th-1980,Friday the 13th,1980,tt0080761
Fright Night-1985,Fright Night,1985,tt0089175
The Front Page-1931,The Front Page,1931,tt0021890
Fun with Dick and Jane-1977,Fun with Dick and Jane,1977,tt0076059
Funny Games-1997,Funny Games,1997,tt0119167
Waterloo Bridge-1931,Waterloo Bridge,1931,tt0022550
Gambit-1966,Gambit,1966,tt0060445
The Gambler-1974,The Gambler,1974,tt0071532
Gaslight-1940,Gaslight,1940,tt0031359
Get Carter-1971,Get Carter,1971,tt0067128
The Getaway-1972,The Getaway,1972,tt0068638
The Lives of a Bengal Lancer-1935,The Lives of a Bengal Lancer,1935,tt0026643
Kaakha Kaakha-2003,Kaakha Kaakha,2003,
Ghostbusters-1984,Ghostbusters,1984,tt0087332
Don't Look Up-1996,Don't Look Up,1996,tt0229499
Gloria-1980,Gloria,1980,tt0080798
Gojira-1954,Gojira,1954,
Going in Style-1979,Going in Style,1979,tt0079219
Gone in 60 Seconds-1974,Gone in 60 Seconds,1974,tt0071571
The Good Companions-1933,The Good Companions,1933,tt0024073
"I Was Born, But...-1932","I Was Born, But...",1932,tt0023634
The Goodbye Girl-1977,The Goodbye Girl,1977,tt0076095
"Goodbye, Mr. Chips-1939","Goodbye, Mr. Chips",1939,tt0031385
The Great Gatsby-1926,The Great Gatsby,1926,tt0016938
Great Expectations-1917,Great Expectations,1917,tt0008029
Waltzes from Vienna-1934,Waltzes from Vienna,1934,
To Have and Have Not-1944,To Have and Have Not,1944,tt0037382
Guess Who's Coming to Dinner-1967,Guess Who's Coming to Dinner,1967,tt0061735
Gulliver's Travels-1939,Gulliver's Travels,1939,tt0031397
Halloween-1978,Halloween,1978,tt0077651
The Beast with Five Fingers-1946,The Beast with Five Fingers,1946,tt0038338
The Hands of Orlac-1924,The Hands of Orlac,1924,tt0015202
La bonne année-1973,La bonne année,1973,
Harakiri-1962,Harakiri,1962,tt0056058
Craig's Wife-1936,Craig's Wife,1936,tt0027474
The Hasty Heart-1949,The Hasty Heart,1949,tt0041445
The Haunting-1963,The Haunting,1963,tt0057129
Hodet over vannet-1993,Hodet over vannet,1993,
The Heartbreak Kid-1972,The Heartbreak Kid,1972,tt0068687
Heart of Darkness-1958,Heart of Darkness,1958,
L.A. Takedown-1989,L.A. Takedown,1989,tt0097700
High Noon-1952,High Noon,1952,tt0044706
The Philadelphia Story-1940,The Philadelphia Story,1940,tt0032904
The Hills Have Eyes-1977,The Hills Have Eyes,1977,tt0077681
The Hitcher-1986,The Hitcher,1986,tt0091209
Holiday-1930,Holiday,1930,tt0020985
The Incredible Journey-1963,The Incredible Journey,1963,tt0057180
The Horn Blows at Midnight-1945,The Horn Blows at Midnight,1945,tt0037790
The Hound of the Baskervilles-1937,The Hound of the Baskervilles,1937,tt0027770
Mystery of the Wax Museum-1933,Mystery of the Wax Museum,1933,tt0024368
House on Haunted Hill-1959,House on Haunted Hill,1959,tt0051744
How to Make a Monster-1958,How to Make a Monster,1958,tt0051746
Huckleberry Finn-1920,Huckleberry Finn,1920,tt0011313
The Hunchback of Notre Dame-1923,The Hunchback of Notre Dame,1923,tt0014142
The Hurricane-1937,The Hurricane,1937,tt0029030
The Last Man on Earth-1964,The Last Man on Earth,1964,tt0058700
High Sierra-1941,High Sierra,1941,tt0033717
I Married a Monster from Outer Space-1958,I Married a Monster from Outer Space,1958,tt0051756
The Informer-1929,The Informer,1929,tt0020025
Inherit the Wind-1960,Inherit the Wind,1960,tt0053946
I Saw What You Did-1965,I Saw What You Did,1965,tt0059297
I Spit on Your Grave-1978,I Spit on Your Grave,1978,tt0077713
I Want to Live!-1958,I Want to Live!,1958,tt0051758
Ice Castles-1978,Ice Castles,1978,tt0077716
Premier rendez-vous-1941,Premier rendez-vous,1941,
Imitation of Life-1934,Imitation of Life,1934,tt0025301
Homecoming to Happiness-1933,Homecoming to Happiness,1933,
The Children of Captain Grant-1936,The Children of Captain Grant,1936,
Indiscretion of an American Wife-1953,Indiscretion of an American Wife,1953,tt0046366
The Initiation of Sarah-1978,The Initiation of Sarah,1978,tt0077735
The In-Laws-1979,The In-Laws,1979,tt0079336
Insomnia-1997,Insomnia,1997,tt0119375
Les choses de la vie-1970,Les choses de la vie,1970,
Intermezzo-1936,Intermezzo,1936,tt0027796
Interview-2003,Interview,2003,tt0360674
Invaders from Mars-1953,Invaders from Mars,1953,tt0045917
Invasion of the Body Snatchers-1956,Invasion of the Body Snatchers,1956,tt0049366
Irma la Douce-1963,Irma la Douce,1963,tt0057187
Rashomon-1950,Rashomon,1950,tt0042876
L'ile d'épouvante-1911,L'ile d'épouvante,1911,
The Italian Job-1969,The Italian Job,1969,tt0064505
It's Alive-1974,It's Alive,1974,tt0071675
The Last Man on Earth-1924,The Last Man on Earth,1924,tt0015051
The Day of the Jackal-1973,The Day of the Jackal,1973,tt0069947
Jacob the Liar-1975,Jacob the Liar,1975,
Jamaica Inn-1939,Jamaica Inn,1939,tt0031505
Jane Eyre-1934,Jane Eyre,1934,tt0025323
The Jazz Singer-1927,The Jazz Singer,1927,tt0018037
Jigoku-1960,Jigoku,1960,
Journey into Fear-1943,Journey into Fear,1943,
Journey's End-1930,Journey's End,1930,tt0021013
Jungle Book-1942,Jungle Book,1942,
Un indien dans la ville-1994,Un indien dans la ville,1994,
Les Visiteurs-1993,Les Visiteurs,1993,
Nihon Chinbotsu-1973,Nihon Chinbotsu,1973,
The Karate Kid-1984,The Karate Kid,1984,tt0087538
Kidnapped-1938,Kidnapped,1938,tt0030321
King Kong-1933,King Kong,1933,tt0024216
King Solomon's Mines-1937,King Solomon's Mines,1937,tt0029081
A Connecticut Yankee in King Arthur's Court-1921,A Connecticut Yankee in King Arthur's Court,1921,tt0012067
A Kiss Before Dying-1956,A Kiss Before Dying,1956,tt0049414
Dona Flor e Seus Dois Maridos-1976,Dona Flor e Seus Dois Maridos,1976,
The Secret Hour-1928,The Secret Hour,1928,tt0019363
Death Game-1977,Death Game,1977,tt0075921
West of Zanzibar-1928,West of Zanzibar,1928,tt0019563
Lady and the Tramp-1955,Lady and the Tramp,1955,tt0048280
The Ladykillers-1955,The Ladykillers,1955,tt0048281
The Lady Vanishes-1938,The Lady Vanishes,1938,tt0030341
Il Mare-2000,Il Mare,2000,tt0282599
The Land That Time Forgot-1975,The Land That Time Forgot,1975,
Last Holiday-1950,Last Holiday,1950,tt0042665
The Virgin Spring-1960,The Virgin Spring,1960,tt0053976
L'ultimo bacio-2001,L'ultimo bacio,2001,
The Last Hurrah-1958,The Last Hurrah,1958,tt0051845
The Last of the Mohicans-1920,The Last of the Mohicans,1920,tt0011387
Les Misérables-1934,Les Misérables,1934,tt0025509
Let The Right One In-2008,Let The Right One In,2008,
The Lion King-1994,The Lion King,1994,tt0110357
Little Fugitive-1953,Little Fugitive,1953,tt0046004
Little Miss Marker-1934,Little Miss Marker,1934,tt0025410
The Little Shop of Horrors-1960,The Little Shop of Horrors,1960,tt0054033
Little Women-1933,Little Women,1933,tt0024264
The Lodger-1927,The Lodger,1927,
Loft-2008,Loft,2008,tt0926762
LOL-Laughing Out Loud,LOL,Laughing Out Loud,
The Longest Yard-1974,The Longest Yard,1974,tt0071771
His Royal Slyness-1920,His Royal Slyness,1920,tt0010258
"The Long, Hot Summer-1958","The Long, Hot Summer",1958,tt0051878
Le Jour se lève-1939,Le Jour se lève,1939,
Lost Horizon-1937,Lost Horizon,1937,tt0029162
The Lost World-1925,The Lost World,1925,tt0016039
Can’t Buy Me Love-1987,Can’t Buy Me Love,1987,
Swamp Water-1941,Swamp Water,1941,tt0034251
M-1931,M,1931,tt0022100
Mädchen in Uniform-1931,Mädchen in Uniform,1931,tt0022183
Murder!-1930,Murder!,1930,tt0021165
Pampered Youth-1925,Pampered Youth,1925,tt0016198
Magnificent Obsession-1935,Magnificent Obsession,1935,tt0026667
I Am Sam-2001,I Am Sam,2001,tt0277027
The Private War of Major Benson-1955,The Private War of Major Benson,1955,tt0048513
The Maltese Falcon-1931,The Maltese Falcon,1931,tt0022111
The Iron Mask-1929,The Iron Mask,1929,tt0020030
Le Grand Blond avec une chaussure noire-1972,Le Grand Blond avec une chaussure noire,1972,
The Man Who Knew Too Much-1934,The Man Who Knew Too Much,1934,tt0025452
L'Homme qui aimait les femmes-1977,L'Homme qui aimait les femmes,1977,
The Manchurian Candidate-1962,The Manchurian Candidate,1962,tt0056218
Manichitrathazhu-1993,Manichitrathazhu,1993,tt0214915
Marcelino Pan y Vino-1955,Marcelino Pan y Vino,1955,
Marilyn Hotchkiss' Ballroom Dancing and Charm School-1990,Marilyn Hotchkiss' Ballroom Dancing and Charm School,1990,tt0283465
London After Midnight-1927,London After Midnight,1927,tt0018097
The Mark of Zorro-1920,The Mark of Zorro,1920,tt0011439
Martyrs-2008,Martyrs,2008,tt1029234
Midnight-1939,Midnight,1939,tt0031647
The Mechanic-1972,The Mechanic,1972,tt0068931
Death Takes a Holiday-1934,Death Takes a Holiday,1934,tt0025037
Meet Me in St. Louis-1944,Meet Me in St. Louis,1944,tt0037059
La vie continue-1981,La vie continue,1981,tt0083286
It's a Wonderful Life-1946,It's a Wonderful Life,1946,tt0038650
The Merry Widow-1925,The Merry Widow,1925,tt0016104
Merton of the Movies-1924,Merton of the Movies,1924,tt0015131
Bicycle Thieves-1948,Bicycle Thieves,1948,tt0040522
Mighty Joe Young-1949,Mighty Joe Young,1949,tt0041650
Miracle on 34th Street-1947,Miracle on 34th Street,1947,tt0039628
The Miracle Man-1919,The Miracle Man,1919,tt0010466
