Movie ID,Original Title,Original Year,Original IMDb ID
The Secret Life of Walter Mitty-1947,The Secret Life of Walter Mitty,1947,tt0039808
Senso-1979,Senso,1979,
Gunga Din-1939,Gunga Din,1939,tt0031398
Seventh Heaven-1927,Seventh Heaven,1927,
Shadow of a Doubt-1943,Shadow of a Doubt,1943,tt0036342
Shaft-1971,Shaft,1971,tt0067741
The Shaggy Dog-1959,The Shaggy Dog,1959,tt0053271
"Shake, Rattle & Rock!-1956","Shake, Rattle & Rock!",1956,tt0049749
The Paleface-1948,The Paleface,1948,tt0040679
Shall We Dansu?-1996,Shall We Dansu?,1996,
Lage Raho Munna Bhai-2006,Lage Raho Munna Bhai,2006,
She-1935,She,1935,tt0026983
The Shining-1980,The Shining,1980,tt0081505
Shiva-1989,Shiva,1989,tt0248428
The Devil and Daniel Webster-1941,The Devil and Daniel Webster,1941,tt0033532
Show Boat-1929,Show Boat,1929,tt0020402
Sideways-2004,Sideways,2004,tt0375063
Ninotchka-1939,Ninotchka,1939,tt0031725
The Sign of the Cross-1914,The Sign of the Cross,1914,tt0004593
Rome Express-1932,Rome Express,1932,tt0023410
So Big-1924,So Big,1924,tt0015347
Solaris-1968,Solaris,1968,
Midsommer-2003,Midsommer,2003,
Ball of Fire-1941,Ball of Fire,1941,tt0033373
Le Salaire de la Peur-1953,Le Salaire de la Peur,1953,
The House on Sorority Row-1983,The House on Sorority Row,1983,tt0085694
The Sound and the Fury-1959,The Sound and the Fury,1959,tt0053298
Spring Parade-1934,Spring Parade,1934,
Spring in a Small Town-1948,Spring in a Small Town,1948,tt0189219
The Squaw Man-1914,The Squaw Man,1914,tt0004635
Morning Glory-1933,Morning Glory,1933,tt0024353
Stagecoach-1939,Stagecoach,1939,tt0031971
A Star Is Born-1937,A Star Is Born,1937,tt0029606
State Fair-1933,State Fair,1933,tt0024610
The Stepfather-1987,The Stepfather,1987,tt0094035
The Stepford Wives-1975,The Stepford Wives,1975,tt0073747
Straw Dogs-1971,Straw Dogs,1971,tt0067800
The Student of Prague-1913,The Student of Prague,1913,tt0003419
Judge Priest-1934,Judge Priest,1934,tt0025335
The Sunshine Boys-1975,The Sunshine Boys,1975,tt0073766
Svengali-1931,Svengali,1931,tt0022454
The Swan-1925,The Swan,1925,tt0016409
Sweet November-1968,Sweet November,1968,tt0063661
Swept Away by an Unusual Destiny in the Blue Sea of August-1974,Swept Away by an Unusual Destiny in the Blue Sea of August,1974,
Taking of Pelham One Two Three-1974,Taking of Pelham One Two Three,1974,
Tarzan the Ape Man-1932,Tarzan the Ape Man,1932,tt0023551
Taxi-1998,Taxi,1998,tt0152930
The Texas Chain Saw Massacre-1974,The Texas Chain Saw Massacre,1974,tt0072271
That Darn Cat!-1965,That Darn Cat!,1965,tt0059793
Thief of Bagdad-1924,Thief of Bagdad,1924,
They Live by Night-1948,They Live by Night,1948,tt0040872
The 39 Steps-1935,The 39 Steps,1935,tt0026029
The Birth of Japan-1959,The Birth of Japan,1959,
The Thing from Another World-1951,The Thing from Another World,1951,tt0044121
Welt am Draht-1973,Welt am Draht,1973,
13 Ghosts-1960,13 Ghosts,1960,tt0053559
The Thomas Crown Affair-1968,The Thomas Crown Affair,1968,tt0063688
Les Fugitifs-1986,Les Fugitifs,1986,
The Three Musketeers-1921,The Three Musketeers,1921,tt0012752
The Time Machine-1960,The Time Machine,1960,tt0054387
To Be or Not to Be-1942,To Be or Not to Be,1942,tt0035446
Leave Her to Heaven-1945,Leave Her to Heaven,1945,tt0037865
The Toolbox Murders-1978,The Toolbox Murders,1978,tt0078405
Eat Drink Man Woman-1994,Eat Drink Man Woman,1994,tt0111797
Total Recall-1990,Total Recall,1990,tt0100802
Tom Brown's Schooldays-1916,Tom Brown's Schooldays,1916,tt0007464
Tom Sawyer-1917,Tom Sawyer,1917,tt0008687
Anthony Zimmer-2005,Anthony Zimmer,2005,tt0411118
Tower of London-1939,Tower of London,1939,tt0032049
Le Jouet-1976,Le Jouet,1976,
Trader Horn-1931,Trader Horn,1931,tt0022495
Treasure Island-1920,Treasure Island,1920,tt0011785
True Grit-1969,True Grit,1969,tt0065126
La Totale!-1991,La Totale!,1991,
Charade-1963,Charade,1963,tt0056923
Le jumeau-1984,Le jumeau,1984,
Under Capricorn-1949,Under Capricorn,1949,tt0042004
Garde à vue-1981,Garde à vue,1981,tt0082436
Criss Cross-1949,Criss Cross,1949,tt0041268
La femme infidèle-1969,La femme infidèle,1969,
Unfaithfully Yours-1948,Unfaithfully Yours,1948,tt0040919
The Letter-1929,The Letter,1929,tt0020092
The Unholy Three-1925,The Unholy Three,1925,tt0016473
The Unknown Soldier-1955,The Unknown Soldier,1955,tt0048752
The Intouchables-2011,The Intouchables,2011,tt1675434
Abre Los Ojos-1997,Abre Los Ojos,1997,
Spoorloos-1988,Spoorloos,1988,
Vanishing Point-1971,Vanishing Point,1971,tt0067927
Vanity Fair-1915,Vanity Fair,1915,tt0006210
Frankenstein-1931,Frankenstein,1931,tt0021884
Viktor und Viktoria-1933,Viktor und Viktoria,1933,
Village of the Damned-1960,Village of the Damned,1960,tt0054443
The Virginian-1914,The Virginian,1914,tt0004766
The More the Merrier-1943,The More the Merrier,1943,tt0036172
Sous le ciel de Provence-1956,Sous le ciel de Provence,1956,
Walking Tall-1973,Walking Tall,1973,tt0070895
The War of the Worlds-1953,The War of the Worlds,1953,tt0046534
Castle of Blood-1964,Castle of Blood,1964,tt0057993
Stepmom-1998,Stepmom,1998,tt0120686
We're No Angels-1955,We're No Angels,1955,tt0048801
The Reluctant Debutante-1958,The Reluctant Debutante,1958,tt0052126
When a Stranger Calls-1979,When a Stranger Calls,1979,tt0080130
What Ever Happened to Baby Jane?-1962,What Ever Happened to Baby Jane?,1962,tt0056687
What Women Want-2000,What Women Want,2000,tt0207201
Where the Boys Are-1960,Where the Boys Are,1960,tt0054469
The Wicked Lady-1945,The Wicked Lady,1945,tt0038250
The Wicker Man-1973,The Wicker Man,1973,tt0070917
L'Appartement-1996,L'Appartement,1996,
Willard-1971,Willard,1971,tt0067991
The Winslow Boy-1948,The Winslow Boy,1948,tt0040970
Blind-2011,Blind,2011,tt2025506
The Wizard of Oz-1925,The Wizard of Oz,1925,tt0016544
Witness for the Prosecution-1957,Witness for the Prosecution,1957,tt0051201
The Wolf Man-1941,The Wolf Man,1941,tt0034398
The Woman in Black-1989,The Woman in Black,1989,tt0098672
Un éléphant ça trompe énormément-1976,Un éléphant ça trompe énormément,1976,
Crimes at the Dark House-1940,Crimes at the Dark House,1940,tt0032366
The Women-1939,The Women,1939,tt0032143
The Yellow Handkerchief-1977,The Yellow Handkerchief,1977,tt0076935
Jogi-2005,Jogi,2005,
It Happened One Night-1934,It Happened One Night,1934,tt0025316
"Yours, Mine and Ours-1968","Yours, Mine and Ours",1968,tt0063829
The Major and the Minor-1942,The Major and the Minor,1942,tt0035019
The Shop Around the Corner-1940,The Shop Around the Corner,1940,tt0033045
