,Movie ID Remake,Remake Title,Remake Year,Type Remake,Movie ID Original,Original Title,Original Year,Type Original
251,I Want to Live!-1983,I Want to Live!,1983,Remake,I Want to Live!-1958,I Want to Live!,1958,Original
252,Ice Castles-2010,Ice Castles,2010,Remake,Ice Castles-1978,Ice Castles,1978,Original
253,Ihr erstes Rendezvous-1955,Ihr erstes Rendezvous,1955,Remake,Premier rendez-vous-1941,Premier rendez-vous,1941,Original
254,Imitation of Life-1959,Imitation of Life,1959,Remake,Imitation of Life-1934,Imitation of Life,1934,Original
255,L'impiegata di papà-1934,L'impiegata di papà,1934,Remake,Homecoming to Happiness-1933,Homecoming to Happiness,1933,Original
256,In Search for Captain Grant-1986,In Search for Captain Grant,1986,Remake,The Children of Captain Grant-1936,The Children of Captain Grant,1936,Original
257,Indiscretion of an American Wife-1998,Indiscretion of an American Wife,1998,Remake,Indiscretion of an American Wife-1953,Indiscretion of an American Wife,1953,Original
258,The Initiation of Sarah-2006,The Initiation of Sarah,2006,Remake,The Initiation of Sarah-1978,The Initiation of Sarah,1978,Original
259,The In-Laws-2003,The In-Laws,2003,Remake,The In-Laws-1979,The In-Laws,1979,Original
260,Insomnia-2002,Insomnia,2002,Remake,Insomnia-1997,Insomnia,1997,Original
261,Intersection-1994,Intersection,1994,Remake,Les choses de la vie-1970,Les choses de la vie,1970,Original
262,Intermezzo-1939,Intermezzo,1939,Remake,Intermezzo-1936,Intermezzo,1936,Original
263,Interview-2007,Interview,2007,Remake,Interview-2003,Interview,2003,Original
264,Invaders from Mars-1986,Invaders from Mars,1986,Remake,Invaders from Mars-1953,Invaders from Mars,1953,Original
265,The Invasion-2007,The Invasion,2007,Remake,Invasion of the Body Snatchers-1956,Invasion of the Body Snatchers,1956,Original
266,Irma la Douce-1972,Irma la Douce,1972,Remake,Irma la Douce-1963,Irma la Douce,1963,Original
267,Iron Maze-1991,Iron Maze,1991,Remake,Rashomon-1950,Rashomon,1950,Original
268,The Island of Dr. Moreau-1996,The Island of Dr. Moreau,1996,Remake,L'ile d'épouvante-1911,L'ile d'épouvante,1911,Original
269,The Italian Job-2003,The Italian Job,2003,Remake,The Italian Job-1969,The Italian Job,1969,Original
270,It's Alive-2009,It's Alive,2009,Remake,It's Alive-1974,It's Alive,1974,Original
271,It's Great to Be Alive-1933,It's Great to Be Alive,1933,Remake,The Last Man on Earth-1924,The Last Man on Earth,1924,Original
272,The Jackal-1997,The Jackal,1997,Remake,The Day of the Jackal-1973,The Day of the Jackal,1973,Original
273,Jakob the Liar-1999,Jakob the Liar,1999,Remake,Jacob the Liar-1975,Jacob the Liar,1975,Original
274,Jamaica Inn-2014,Jamaica Inn,2014,Remake,Jamaica Inn-1939,Jamaica Inn,1939,Original
275,Jane Eyre-2011,Jane Eyre,2011,Remake,Jane Eyre-1934,Jane Eyre,1934,Original
276,The Jazz Singer-1980,The Jazz Singer,1980,Remake,The Jazz Singer-1927,The Jazz Singer,1927,Original
277,Jigoku-1999,Jigoku,1999,Remake,Jigoku-1960,Jigoku,1960,Original
278,Journey into Fear-1975,Journey into Fear,1975,Remake,Journey into Fear-1943,Journey into Fear,1943,Original
279,Journey's End-2017,Journey's End,2017,Remake,Journey's End-1930,Journey's End,1930,Original
280,Mowgli: Legend of the Jungle-2018,Mowgli: Legend of the Jungle,2018,Remake,Jungle Book-1942,Jungle Book,1942,Original
281,Jungle 2 Jungle-1997,Jungle 2 Jungle,1997,Remake,Un indien dans la ville-1994,Un indien dans la ville,1994,Original
282,Just Visiting-2001,Just Visiting,2001,Remake,Les Visiteurs-1993,Les Visiteurs,1993,Original
283,Nihon Chinbotsu-2006,Nihon Chinbotsu,2006,Remake,Nihon Chinbotsu-1973,Nihon Chinbotsu,1973,Original
284,The Karate Kid-2010,The Karate Kid,2010,Remake,The Karate Kid-1984,The Karate Kid,1984,Original
285,Kidnapped-2005,Kidnapped,2005,Remake,Kidnapped-1938,Kidnapped,1938,Original
286,King Kong-2005,King Kong,2005,Remake,King Kong-1933,King Kong,1933,Original
287,King Solomon's Mines-2004,King Solomon's Mines,2004,Remake,King Solomon's Mines-1937,King Solomon's Mines,1937,Original
288,A Kid in King Arthur's Court-1995,A Kid in King Arthur's Court,1995,Remake,A Connecticut Yankee in King Arthur's Court-1921,A Connecticut Yankee in King Arthur's Court,1921,Original
289,A Kiss Before Dying-1991,A Kiss Before Dying,1991,Remake,A Kiss Before Dying-1956,A Kiss Before Dying,1956,Original
290,Kiss Me Goodbye-1982,Kiss Me Goodbye,1982,Remake,Dona Flor e Seus Dois Maridos-1976,Dona Flor e Seus Dois Maridos,1976,Original
291,Kiss of Death-1995,Kiss of Death,1995,Remake,Kiss of Death-1947,Kiss of Death,1947,Original
292,They Knew What They Wanted-1940,They Knew What They Wanted,1940,Remake,The Secret Hour-1928,The Secret Hour,1928,Original
293,Knock Knock-2015,Knock Knock,2015,Remake,Death Game-1977,Death Game,1977,Original
294,Kongo-1932,Kongo,1932,Remake,West of Zanzibar-1928,West of Zanzibar,1928,Original
295,Lady and the Tramp-2019,Lady and the Tramp,2019,Remake,Lady and the Tramp-1955,Lady and the Tramp,1955,Original
296,The Ladykillers-2004,The Ladykillers,2004,Remake,The Ladykillers-1955,The Ladykillers,1955,Original
297,The Lady Vanishes-2013,The Lady Vanishes,2013,Remake,The Lady Vanishes-1938,The Lady Vanishes,1938,Original
298,The Lake House-2006,The Lake House,2006,Remake,Il Mare-2000,Il Mare,2000,Original
299,The Land That Time Forgot-2009,The Land That Time Forgot,2009,Remake,The Land That Time Forgot-1975,The Land That Time Forgot,1975,Original
300,Last Holiday-2006,Last Holiday,2006,Remake,Last Holiday-1950,Last Holiday,1950,Original
301,The Last House on the Left-2009,The Last House on the Left,2009,Remake,The Virgin Spring-1960,The Virgin Spring,1960,Original
302,The Last Kiss-2006,The Last Kiss,2006,Remake,L'ultimo bacio-2001,L'ultimo bacio,2001,Original
303,Last Man Standing-1996,Last Man Standing,1996,Remake,Yojimbo-1961,Yojimbo,1961,Original
304,The Last Hurrah-1977,The Last Hurrah,1977,Remake,The Last Hurrah-1958,The Last Hurrah,1958,Original
305,The Last of the Mohicans-1992,The Last of the Mohicans,1992,Remake,The Last of the Mohicans-1920,The Last of the Mohicans,1920,Original
306,Les Misérables-2018,Les Misérables,2018,Remake,Les Misérables-1934,Les Misérables,1934,Original
307,Let Me In-2010,Let Me In,2010,Remake,Let The Right One In-2008,Let The Right One In,2008,Original
308,The Lion King-2019,The Lion King,2019,Remake,The Lion King-1994,The Lion King,1994,Original
309,Little Fugitive-2006,Little Fugitive,2006,Remake,Little Fugitive-1953,Little Fugitive,1953,Original
310,Little Miss Marker-1980,Little Miss Marker,1980,Remake,Little Miss Marker-1934,Little Miss Marker,1934,Original
311,Little Shop of Horrors-1986,Little Shop of Horrors,1986,Remake,The Little Shop of Horrors-1960,The Little Shop of Horrors,1960,Original
312,Little Women-2019,Little Women,2019,Remake,Little Women-1933,Little Women,1933,Original
313,The Lodger-2009,The Lodger,2009,Remake,The Lodger-1927,The Lodger,1927,Original
314,The Loft-2014,The Loft,2014,Remake,Loft-2008,Loft,2008,Original
315,LOL-2012,LOL,2012,Remake,LOL-Laughing Out Loud,LOL,Laughing Out Loud,Original
316,The Longest Yard-2005,The Longest Yard,2005,Remake,The Longest Yard-1974,The Longest Yard,1974,Original
317,Long Fliv the King-1926,Long Fliv the King,1926,Remake,His Royal Slyness-1920,His Royal Slyness,1920,Original
318,The Long Hot Summer-1985,The Long Hot Summer,1985,Remake,"The Long, Hot Summer-1958","The Long, Hot Summer",1958,Original
319,The Long Night-1947,The Long Night,1947,Remake,Le Jour se lève-1939,Le Jour se lève,1939,Original
320,Lost Horizon-1973,Lost Horizon,1973,Remake,Lost Horizon-1937,Lost Horizon,1937,Original
321,The Lost World-2001,The Lost World,2001,Remake,The Lost World-1925,The Lost World,1925,Original
322,Love Affair-1994,Love Affair,1994,Remake,Love Affair-1939,Love Affair,1939,Original
323,Love Don't Cost a Thing-2003,Love Don't Cost a Thing,2003,Remake,Can’t Buy Me Love-1987,Can’t Buy Me Love,1987,Original
324,Lure of the Wilderness-1952,Lure of the Wilderness,1952,Remake,Swamp Water-1941,Swamp Water,1941,Original
325,M-1951,M,1951,Remake,M-1931,M,1931,Original
326,Mädchen in Uniform-1958,Mädchen in Uniform,1958,Remake,Mädchen in Uniform-1931,Mädchen in Uniform,1931,Original
327,Mary-1931,Mary,1931,Remake,Murder!-1930,Murder!,1930,Original
328,The Magnificent Ambersons-2002,The Magnificent Ambersons,2002,Remake,Pampered Youth-1925,Pampered Youth,1925,Original
329,Magnificent Obsession-1954,Magnificent Obsession,1954,Remake,Magnificent Obsession-1935,Magnificent Obsession,1935,Original
330,The Magnificent Seven-2016,The Magnificent Seven,2016,Remake,Seven Samurai-1954,Seven Samurai,1954,Original
331,Main Aisa Hi Hoon-2005,Main Aisa Hi Hoon,2005,Remake,I Am Sam-2001,I Am Sam,2001,Original
332,Major Payne-1995,Major Payne,1995,Remake,The Private War of Major Benson-1955,The Private War of Major Benson,1955,Original
333,The Maltese Falcon-1941,The Maltese Falcon,1941,Remake,The Maltese Falcon-1931,The Maltese Falcon,1931,Original
334,The Man in the Iron Mask-1998,The Man in the Iron Mask,1998,Remake,The Iron Mask-1929,The Iron Mask,1929,Original
335,The Man with One Red Shoe-1985,The Man with One Red Shoe,1985,Remake,Le Grand Blond avec une chaussure noire-1972,Le Grand Blond avec une chaussure noire,1972,Original
336,The Man Who Knew Too Much-1956,The Man Who Knew Too Much,1956,Remake,The Man Who Knew Too Much-1934,The Man Who Knew Too Much,1934,Original
337,The Man Who Loved Women-1983,The Man Who Loved Women,1983,Remake,L'Homme qui aimait les femmes-1977,L'Homme qui aimait les femmes,1977,Original
338,The Manchurian Candidate-2004,The Manchurian Candidate,2004,Remake,The Manchurian Candidate-1962,The Manchurian Candidate,1962,Original
339,Bhool Bhulaiyaa-2007,Bhool Bhulaiyaa,2007,Remake,Manichitrathazhu-1993,Manichitrathazhu,1993,Original
340,"Marcelino Pan y Vino-1979, made-for-TV",Marcelino Pan y Vino,"1979, made-for-TV",Remake,Marcelino Pan y Vino-1955,Marcelino Pan y Vino,1955,Original
341,Marilyn Hotchkiss' Ballroom Dancing and Charm School-2005,Marilyn Hotchkiss' Ballroom Dancing and Charm School,2005,Remake,Marilyn Hotchkiss' Ballroom Dancing and Charm School-1990,Marilyn Hotchkiss' Ballroom Dancing and Charm School,1990,Original
342,Mark of the Vampire-1935,Mark of the Vampire,1935,Remake,London After Midnight-1927,London After Midnight,1927,Original
343,The Mark of Zorro-1974,The Mark of Zorro,1974,Remake,The Mark of Zorro-1920,The Mark of Zorro,1920,Original
344,Martyrs-2015,Martyrs,2015,Remake,Martyrs-2008,Martyrs,2008,Original
345,Masquerade in Mexico-1945,Masquerade in Mexico,1945,Remake,Midnight-1939,Midnight,1939,Original
346,The Mechanic-2011,The Mechanic,2011,Remake,The Mechanic-1972,The Mechanic,1972,Original
347,Meet Joe Black-1998,Meet Joe Black,1998,Remake,Death Takes a Holiday-1934,Death Takes a Holiday,1934,Original
348,Meet Me in St. Louis-1966,Meet Me in St. Louis,1966,Remake,Meet Me in St. Louis-1944,Meet Me in St. Louis,1944,Original
349,Men Don't Leave-1990,Men Don't Leave,1990,Remake,La vie continue-1981,La vie continue,1981,Original
350,"Merry Christmas, George Bailey-1997","Merry Christmas, George Bailey",1997,Remake,It's a Wonderful Life-1946,It's a Wonderful Life,1946,Original
351,The Merry Widow-1952,The Merry Widow,1952,Remake,The Merry Widow-1925,The Merry Widow,1925,Original
352,Merton of the Movies-1947,Merton of the Movies,1947,Remake,Merton of the Movies-1924,Merton of the Movies,1924,Original
353,Messenger-1994,Messenger,1994,Remake,Bicycle Thieves-1948,Bicycle Thieves,1948,Original
354,Mighty Joe Young-1998,Mighty Joe Young,1998,Remake,Mighty Joe Young-1949,Mighty Joe Young,1949,Original
355,Miracle on 34th Street-1994,Miracle on 34th Street,1994,Remake,Miracle on 34th Street-1947,Miracle on 34th Street,1947,Original
356,The Miracle Man-1932,The Miracle Man,1932,Remake,The Miracle Man-1919,The Miracle Man,1919,Original
357,The Mirror Has Two Faces-1996,The Mirror Has Two Faces,1996,Remake,Le Mariage a Deux Faces-1959,Le Mariage a Deux Faces,1959,Original
358,Mirrors-2008,Mirrors,2008,Remake,Into the Mirror-2003,Into the Mirror,2003,Original
359,20 Once Again-2015,20 Once Again,2015,Remake,Miss Granny-2014,Miss Granny,2014,Original
360,Mixed Nuts-1994,Mixed Nuts,1994,Remake,Le Père Noël est une ordure-1982,Le Père Noël est une ordure,1982,Original
361,Moby Dick-2011,Moby Dick,2011,Remake,The Sea Beast-1926,The Sea Beast,1926,Original
362,Mogambo-1953,Mogambo,1953,Remake,Red Dust-1932,Red Dust,1932,Original
363,The Money Pit-1986,The Money Pit,1986,Remake,Mr. Blandings Builds His Dream House-1948,Mr. Blandings Builds His Dream House,1948,Original
364,Moon Over Parador-1988,Moon Over Parador,1988,Remake,The Magnificent Fraud-1939,The Magnificent Fraud,1939,Original
365,The Monkey's Paw-1948,The Monkey's Paw,1948,Remake,The Monkey's Paw-1923,The Monkey's Paw,1923,Original
366,Mother's Day-2010,Mother's Day,2010,Remake,Mother's Day-1980,Mother's Day,1980,Original
367,"Move Over, Darling-1963","Move Over, Darling",1963,Remake,My Favorite Wife-1940,My Favorite Wife,1940,Original
368,Mr. Deeds-2002,Mr. Deeds,2002,Remake,Mr. Deeds Goes to Town-1936,Mr. Deeds Goes to Town,1936,Original
369,Mrs. Winterbourne-1996,Mrs. Winterbourne,1996,Remake,No Man of Her Own-1950,No Man of Her Own,1950,Original
370,The Mummy-1999,The Mummy,1999,Remake,The Mummy-1932,The Mummy,1932,Original
371,Uppi Dada M.B.B.S.-2006,Uppi Dada M.B.B.S.,2006,Remake,Munna Bhai M.B.B.S.-2003,Munna Bhai M.B.B.S.,2003,Original
372,Murder on the Orient Express-2017,Murder on the Orient Express,2017,Remake,Murder on the Orient Express-1974,Murder on the Orient Express,1974,Original
373,The Music Man-2003,The Music Man,2003,Remake,The Music Man-1962,The Music Man,1962,Original
374,My Bloody Valentine 3D-2009,My Bloody Valentine 3D,2009,Remake,My Bloody Valentine-1981,My Bloody Valentine,1981,Original
375,My Cousin Rachel-2017,My Cousin Rachel,2017,Remake,My Cousin Rachel-1952,My Cousin Rachel,1952,Original
376,My Darling Clementine-1946,My Darling Clementine,1946,Remake,Frontier Marshal-1934,Frontier Marshal,1934,Original
377,My Fair Lady-1964,My Fair Lady,1964,Remake,Pygmalion-1938,Pygmalion,1938,Original
378,My Father the Hero-1994,My Father the Hero,1994,Remake,"Mon père, ce héros-1991","Mon père, ce héros",1991,Original
379,My Man Godfrey-1957,My Man Godfrey,1957,Remake,My Man Godfrey-1936,My Man Godfrey,1936,Original
380,Jules Verne's Mysterious Island-2012,Jules Verne's Mysterious Island,2012,Remake,The Mysterious Island-1929,The Mysterious Island,1929,Original
381,Untitled Mario remake film-2022,Untitled Mario remake film,2022,Remake,Super Mario Bros-1993,Super Mario Bros,1993,Original
382,Naa Autograph-2004,Naa Autograph,2004,Remake,Autograph-2004,Autograph,2004,Original
383,Nadja-1994,Nadja,1994,Remake,Dracula's Daughter-1936,Dracula's Daughter,1936,Original
384,Naina-2005,Naina,2005,Remake,The Eye-2002,The Eye,2002,Original
385,Never Say Never Again-1983,Never Say Never Again,1983,Remake,Thunderball-1965,Thunderball,1965,Original
386,The Next Three Days-2010,The Next Three Days,2010,Remake,Anything for Her-2008,Anything for Her,2008,Original
387,Night and the City-1992,Night and the City,1992,Remake,Night and the City-1950,Night and the City,1950,Original
388,Night Must Fall-1964,Night Must Fall,1964,Remake,Night Must Fall-1937,Night Must Fall,1937,Original
389,Night of the Hunter-1991,Night of the Hunter,1991,Remake,The Night of the Hunter-1955,The Night of the Hunter,1955,Original
390,A Nightmare on Elm Street-2010,A Nightmare on Elm Street,2010,Remake,A Nightmare on Elm Street-1984,A Nightmare on Elm Street,1984,Original
391,Night of the Demons-2009,Night of the Demons,2009,Remake,Night of the Demons-1988,Night of the Demons,1988,Original
392,Night of the Living Dead 3D-2006,Night of the Living Dead 3D,2006,Remake,Night of the Living Dead-1968,Night of the Living Dead,1968,Original
393,Nightwatch-1997,Nightwatch,1997,Remake,Nattevagten-1994,Nattevagten,1994,Original
394,Nine Months-1995,Nine Months,1995,Remake,Neuf mois-1994,Neuf mois,1994,Original
395,No Reservations-2007,No Reservations,2007,Remake,Mostly Martha-2001,Mostly Martha,2001,Original
396,Nosferatu-1979,Nosferatu,1979,Remake,Nosferatu-1922,Nosferatu,1922,Original
397,No Way Out-1987,No Way Out,1987,Remake,The Big Clock-1948,The Big Clock,1948,Original
398,Not of This Earth-1995,Not of This Earth,1995,Remake,Not of This Earth-1957,Not of This Earth,1957,Original
399,Notorious-1992,Notorious,1992,Remake,Notorious-1946,Notorious,1946,Original
400,All the Best-2012,All the Best,2012,Remake,Nueve Reinas-2000,Nueve Reinas,2000,Original
401,The Nutty Professor-1996,The Nutty Professor,1996,Remake,The Nutty Professor-1963,The Nutty Professor,1963,Original
402,Ocean's Eleven-2001,Ocean's Eleven,2001,Remake,Ocean's 11-1960,Ocean's 11,1960,Original
403,Oh Jonathan – oh Jonathan!-1973,Oh Jonathan – oh Jonathan!,1973,Remake,It Started with Eve-1941,It Started with Eve,1941,Original
404,Of Human Bondage-1964,Of Human Bondage,1964,Remake,Of Human Bondage-1934,Of Human Bondage,1934,Original
405,Of Mice and Men-1992,Of Mice and Men,1992,Remake,Of Mice and Men-1939,Of Mice and Men,1939,Original
406,The Old Dark House-1963,The Old Dark House,1963,Remake,The Old Dark House-1932,The Old Dark House,1932,Original
407,Oldboy-2013,Oldboy,2013,Remake,Oldboy-2003,Oldboy,2003,Original
408,Oliver Twist-2007,Oliver Twist,2007,Remake,Oliver Twist-1922,Oliver Twist,1922,Original
409,The Omen-2006,The Omen,2006,Remake,The Omen-1976,The Omen,1976,Original
410,On the Beach-2000,On the Beach,2000,Remake,On the Beach-1959,On the Beach,1959,Original
411,One Missed Call-2007,One Missed Call,2007,Remake,One Missed Call-Chakushin Ari,One Missed Call,Chakushin Ari,Original
412,One Sunday Afternoon-1948,One Sunday Afternoon,1948,Remake,One Sunday Afternoon-1933,One Sunday Afternoon,1933,Original
413,The Ordeal of Dr. Mudd-1980,The Ordeal of Dr. Mudd,1980,Remake,The Prisoner of Shark Island-1936,The Prisoner of Shark Island,1936,Original
414,Orfeu-1999,Orfeu,1999,Remake,Black Orpheus-1959,Black Orpheus,1959,Original
415,Original Sin-2001,Original Sin,2001,Remake,La Sirène du Mississipi-1969,La Sirène du Mississipi,1969,Original
416,Orphans of the Storm-1921,Orphans of the Storm,1921,Remake,The Two Orphans-1915,The Two Orphans,1915,Original
417,Oscar-1991,Oscar,1991,Remake,Oscar-1967,Oscar,1967,Original
418,The Out-of-Towners-1999,The Out-of-Towners,1999,Remake,The Out-of-Towners-1970,The Out-of-Towners,1970,Original
419,The Outrage-1964,The Outrage,1964,Remake,Rashomon-1950,Rashomon,1950,Original
420,Overboard-2018,Overboard,2018,Remake,Overboard-1987,Overboard,1987,Original
421,Oxford Blues-1984,Oxford Blues,1984,Remake,A Yank at Oxford-1938,A Yank at Oxford,1938,Original
422,Pacific Rendezvous-1942,Pacific Rendezvous,1942,Remake,Rendezvous-1935,Rendezvous,1935,Original
423,Papillon-2018,Papillon,2018,Remake,Papillon-1973,Papillon,1973,Original
424,Paradise-1991,Paradise,1991,Remake,Le grand chemin-1987,Le grand chemin,1987,Original
425,The Parent Trap-1998,The Parent Trap,1998,Remake,Twice Upon a Time-1953,Twice Upon a Time,1953,Original
426,Passion-1998,Passion,1998,Remake,Le Dernier Tournant-1939,Le Dernier Tournant,1939,Original
427,Pathfinder-2006,Pathfinder,2006,Remake,Ofelas-1987,Ofelas,1987,Original
428,Peking Express-1951,Peking Express,1951,Remake,Shanghai Express-1932,Shanghai Express,1932,Original
429,A Perfect Murder-1998,A Perfect Murder,1998,Remake,Dial M for Murder-1954,Dial M for Murder,1954,Original
430,Pet Sematary-2019,Pet Sematary,2019,Remake,Pet Sematary-1989,Pet Sematary,1989,Original
431,A Place in the Sun-1951,A Place in the Sun,1951,Remake,An American Tragedy-1931,An American Tragedy,1931,Original
432,The Phantom Carriage-1958,The Phantom Carriage,1958,Remake,The Phantom Carriage-1921,The Phantom Carriage,1921,Original
433,The Phantom of the Opera-2004,The Phantom of the Opera,2004,Remake,The Phantom of the Opera-1925,The Phantom of the Opera,1925,Original
434,Picnic-2000,Picnic,2000,Remake,Picnic-1955,Picnic,1955,Original
435,Piranha 3-D-2010,Piranha 3-D,2010,Remake,Piranha-1978,Piranha,1978,Original
436,Planet of the Apes-2001,Planet of the Apes,2001,Remake,Planet of the Apes-1968,Planet of the Apes,1968,Original
437,The Plank-1979,The Plank,1979,Remake,The Plank-1967,The Plank,1967,Original
438,Pocketful of Miracles-1961,Pocketful of Miracles,1961,Remake,Lady for a Day-1933,Lady for a Day,1933,Original
439,Point Break-2015,Point Break,2015,Remake,Point Break-1991,Point Break,1991,Original
440,Point of No Return-1993,Point of No Return,1993,Remake,La Femme Nikita-1990,La Femme Nikita,1990,Original
441,Poltergeist-2015,Poltergeist,2015,Remake,Poltergeist-1982,Poltergeist,1982,Original
442,Porki-2010,Porki,2010,Remake,Pokiri-2006,Pokiri,2006,Original
443,Poseidon-2006,Poseidon,2006,Remake,The Poseidon Adventure-1972,The Poseidon Adventure,1972,Original
444,The Preacher's Wife-1996,The Preacher's Wife,1996,Remake,The Bishop's Wife-1947,The Bishop's Wife,1947,Original
445,Premonition-2007,Premonition,2007,Remake,Premonition-2004,Premonition,2004,Original
446,Pride & Prejudice-2005,Pride & Prejudice,2005,Remake,Pride and Prejudice-1940,Pride and Prejudice,1940,Original
447,The Prime Minister-1941,The Prime Minister,1941,Remake,Disraeli-1916,Disraeli,1916,Original
448,The Prince and the Pauper-2007,The Prince and the Pauper,2007,Remake,The Prince and the Pauper-1920,The Prince and the Pauper,1920,Original
449,The Prisoner of Zenda-1979,The Prisoner of Zenda,1979,Remake,The Prisoner of Zenda-1922,The Prisoner of Zenda,1922,Original
450,The Producers-2005,The Producers,2005,Remake,The Producers-1968,The Producers,1968,Original
451,Prom Night-2008,Prom Night,2008,Remake,Prom Night-1980,Prom Night,1980,Original
452,Psycho-1998,Psycho,1998,Remake,Psycho-1960,Psycho,1960,Original
453,Pulse-2006,Pulse,2006,Remake,Kairo-2001,Kairo,2001,Original
454,Quarantine-2008,Quarantine,2008,Remake,REC-2007,REC,2007,Original
455,The Rainmaker-1982,The Rainmaker,1982,Remake,The Rainmaker-1956,The Rainmaker,1956,Original
456,Ram Gopal Varma Ki Aag-2007,Ram Gopal Varma Ki Aag,2007,Remake,Sholay-1975,Sholay,1975,Original
457,Rangrezz-2013,Rangrezz,2013,Remake,Naadodigal-2009,Naadodigal,2009,Original
458,Ransom-1996,Ransom,1996,Remake,Ransom!-1956,Ransom!,1956,Original
459,The Razor's Edge-1984,The Razor's Edge,1984,Remake,The Razor's Edge-1946,The Razor's Edge,1946,Original
460,Rear Window-1998,Rear Window,1998,Remake,Rear Window-1954,Rear Window,1954,Original
461,Red Dawn-2012,Red Dawn,2012,Remake,Red Dawn-1984,Red Dawn,1984,Original
462,Rebecca-1997,Rebecca,1997,Remake,Rebecca-1940,Rebecca,1940,Original
463,The Red Badge of Courage-1974,The Red Badge of Courage,1974,Remake,The Red Badge of Courage-1951,The Red Badge of Courage,1951,Original
464,Red Dragon-2002,Red Dragon,2002,Remake,Manhunter-1986,Manhunter,1986,Original
465,Reefer Madness-2005,Reefer Madness,2005,Remake,Reefer Madness-1936,Reefer Madness,1936,Original
466,Return to Paradise-1998,Return to Paradise,1998,Remake,Force Majeure-1989,Force Majeure,1989,Original
467,Reptilian-1999,Reptilian,1999,Remake,Yonggary-1967,Yonggary,1967,Original
468,Rich and Famous-1981,Rich and Famous,1981,Remake,Old Acquaintance-1943,Old Acquaintance,1943,Original
469,Riding High-1950,Riding High,1950,Remake,Broadway Bill-1934,Broadway Bill,1934,Original
470,The Ring-2002,The Ring,2002,Remake,Ringu-1998,Ringu,1998,Original
471,Rio Lobo-1970,Rio Lobo,1970,Remake,Rio Bravo-1959,Rio Bravo,1959,Original
472,Robin Hood-2018,Robin Hood,2018,Remake,Robin Hood-1922,Robin Hood,1922,Original
473,RoboCop-2014,RoboCop,2014,Remake,RoboCop-1987,RoboCop,1987,Original
474,Rock-A-Bye Baby-1958,Rock-A-Bye Baby,1958,Remake,The Miracle of Morgan's Creek-1944,The Miracle of Morgan's Creek,1944,Original
475,Rollerball-2002,Rollerball,2002,Remake,Rollerball-1975,Rollerball,1975,Original
476,Rogue Male-1976,Rogue Male,1976,Remake,Man Hunt-1941,Man Hunt,1941,Original
477,The Roman Spring of Mrs. Stone-2003,The Roman Spring of Mrs. Stone,2003,Remake,The Roman Spring of Mrs. Stone-1961,The Roman Spring of Mrs. Stone,1961,Original
478,The Roommate-2011,The Roommate,2011,Remake,Single White Female-1992,Single White Female,1992,Original
479,Run for the Sun-1956,Run for the Sun,1956,Remake,The Most Dangerous Game-1932,The Most Dangerous Game,1932,Original
480,Runaway Daughters-1994,Runaway Daughters,1994,Remake,Runaway Daughters-1956,Runaway Daughters,1956,Original
481,Sabrina-1995,Sabrina,1995,Remake,Sabrina-1954,Sabrina,1954,Original
482,Sahara-1995,Sahara,1995,Remake,The Thirteen-1937,The Thirteen,1937,Original
483,Satan's School for Girls-2000,Satan's School for Girls,2000,Remake,Satan's School for Girls-1973,Satan's School for Girls,1973,Original
484,Saturday's Children-1940,Saturday's Children,1940,Remake,Saturday's Children-1929,Saturday's Children,1929,Original
485,Scandal Maker-2016,Scandal Maker,2016,Remake,Scandal Makers-2008,Scandal Makers,2008,Original
486,The Scapegoat-2012,The Scapegoat,2012,Remake,The Scapegoat-1959,The Scapegoat,1959,Original
487,Scared Stiff-1953,Scared Stiff,1953,Remake,The Ghost Breakers-1940,The Ghost Breakers,1940,Original
488,Scarface-1983,Scarface,1983,Remake,Scarface-1932,Scarface,1932,Original
489,Scent of a Woman-1992,Scent of a Woman,1992,Remake,Profumo di donna-1974,Profumo di donna,1974,Original
490,School for Scoundrels-2006,School for Scoundrels,2006,Remake,School for Scoundrels-1960,School for Scoundrels,1960,Original
491,Séance-2000,Séance,2000,Remake,Séance on a Wet Afternoon-1964,Séance on a Wet Afternoon,1964,Original
492,Sea Wolf-2009,Sea Wolf,2009,Remake,The Sea Wolf-1930,The Sea Wolf,1930,Original
493,The Secret-2007,The Secret,2007,Remake,Himitsu-1999,Himitsu,1999,Original
494,Secret in Their Eyes-2015,Secret in Their Eyes,2015,Remake,El secreto de sus ojos-2009,El secreto de sus ojos,2009,Original
495,The Secret Life of Walter Mitty-2013,The Secret Life of Walter Mitty,2013,Remake,The Secret Life of Walter Mitty-1947,The Secret Life of Walter Mitty,1947,Original
496,Senso '45-2002,Senso '45,2002,Remake,Senso-1979,Senso,1979,Original
497,Sergeants 3-1962,Sergeants 3,1962,Remake,Gunga Din-1939,Gunga Din,1939,Original
498,Seventh Heaven-1937,Seventh Heaven,1937,Remake,Seventh Heaven-1927,Seventh Heaven,1927,Original
499,Shadow of a Doubt-1991,Shadow of a Doubt,1991,Remake,Shadow of a Doubt-1943,Shadow of a Doubt,1943,Original
500,Shaft-2000,Shaft,2000,Remake,Shaft-1971,Shaft,1971,Original
501,The Shaggy Dog-2006,The Shaggy Dog,2006,Remake,The Shaggy Dog-1959,The Shaggy Dog,1959,Original
