,Movie ID Remake,Remake Title,Remake Year,Type Remake,Movie ID Original,Original Title,Original Year,Type Original
56,The Big Sleep-1978,The Big Sleep,1978,Remake,The Big Sleep-1946,The Big Sleep,1946,Original
57,The Birdcage-1996,The Birdcage,1996,Remake,La Cage aux Folles-1978,La Cage aux Folles,1978,Original
58,Billy Jack Goes to Washington-1977,Billy Jack Goes to Washington,1977,Remake,Washington Merry-Go-Round-1932,Washington Merry-Go-Round,1932,Original
59,Black Caesar-1973,Black Caesar,1973,Remake,Little Caesar-1931,Little Caesar,1931,Original
60,Black Christmas-2019,Black Christmas,2019,Remake,Black Christmas-1974,Black Christmas,1974,Original
61,Blame it on Rio-1984,Blame it on Rio,1984,Remake,Un moment d'egarement-1977,Un moment d'egarement,1977,Original
62,The Blob-1988,The Blob,1988,Remake,The Blob-1958,The Blob,1958,Original
63,Blood Diner-1987,Blood Diner,1987,Remake,Blood Feast-1963,Blood Feast,1963,Original
64,The Blue Angel-1959,The Blue Angel,1959,Remake,The Blue Angel-1930,The Blue Angel,1930,Original
65,The Blue Bird-1976,The Blue Bird,1976,Remake,The Blue Bird-1918,The Blue Bird,1918,Original
66,Born Yesterday-1993,Born Yesterday,1993,Remake,Born Yesterday-1950,Born Yesterday,1950,Original
67,Boudu-2005,Boudu,2005,Remake,Boudu Saved from Drowning-1932,Boudu Saved from Drowning,1932,Original
68,The Bounty-1984,The Bounty,1984,Remake,In the Wake of the Bounty-1933,In the Wake of the Bounty,1933,Original
69,The Brasher Doubloon-1947,The Brasher Doubloon,1947,Remake,Time to Kill-1942,Time to Kill,1942,Original
70,Breathless-1983,Breathless,1983,Remake,Breathless-1960,Breathless,1960,Original
71,Brewster's Millions-1985,Brewster's Millions,1985,Remake,Brewster's Millions-1914,Brewster's Millions,1914,Original
72,Bride Wars-2015,Bride Wars,2015,Remake,Bride Wars-2009,Bride Wars,2009,Original
73,Brian's Song-2001,Brian's Song,2001,Remake,Brian's Song-1971,Brian's Song,1971,Original
74,Broken Blossoms-1936,Broken Blossoms,1936,Remake,Broken Blossoms-1919,Broken Blossoms,1919,Original
75,Brothers-2009,Brothers,2009,Remake,Brødre-2004,Brødre,2004,Original
76,The Browning Version-1994,The Browning Version,1994,Remake,The Browning Version-1951,The Browning Version,1951,Original
