Movie ID,Remake Title,Remake Year,Remake IMDb ID
The Crazies-2010,The Crazies,2010,tt0455407
Crime School-1938,Crime School,1938,tt0030026
Criminal-2004,Criminal,2004,tt0362526
D.O.A.-1988,D.O.A.,1988,tt0094933
Dark Victory-1976,Dark Victory,1976,tt0074374
Dark Water-2005,Dark Water,2005,tt0382628
David Copperfield-2000,David Copperfield,2000,tt0238768
Dawn of the Dead-2004,Dawn of the Dead,2004,tt0363547
The Dawn Patrol-1938,The Dawn Patrol,1938,tt0030044
Day of the Dead-2008,Day of the Dead,2008,tt0489018
The Day the Earth Stood Still-2008,The Day the Earth Stood Still,2008,tt0970416
Death Drums Along the River-1963,Death Drums Along the River,1963,
Dead of Winter-1987,Dead of Winter,1987,tt0092842
Death at a Funeral-2010,Death at a Funeral,2010,tt1321509
Death Race-2008,Death Race,2008,tt0452608
Death Wish-2018,Death Wish,2018,tt1137450
The Debt-2011,The Debt,2011,
The Defiant Ones-1986,The Defiant Ones,1986,tt0089010
The Departed-2006,The Departed,2006,tt0407887
Desire-1936,Desire,1936,tt0027515
Desperate Hours-1990,Desperate Hours,1990,tt0099409
Destry-1954,Destry,1954,tt0046906
Le Deuxième Souffle-2007,Le Deuxième Souffle,2007,
Diabolique-1996,Diabolique,1996,tt0116095
Diamond Horseshoe-1945,Diamond Horseshoe,1945,tt0037640
Dirty Rotten Scoundrels-1988,Dirty Rotten Scoundrels,1988,tt0095031
Dr. Jekyll and Mr. Hyde-1941,Dr. Jekyll and Mr. Hyde,1941,tt0033553
Dr. M-1990,Dr. M,1990,tt0099445
Drums of Fu Manchu-1940,Drums of Fu Manchu,1940,tt0032420
Billa-2009,Billa,2009,tt1525323
A Dog of Flanders-1999,A Dog of Flanders,1999,tt0160216
Don Quixote-2000,Don Quixote,2000,tt0181212
Dorian Gray-2009,Dorian Gray,2009,tt1235124
Down-2001,Down,2001,
Down and Out in Beverly Hills-1986,Down and Out in Beverly Hills,1986,tt0090966
Down to Earth-2001,Down to Earth,2001,tt0231775
Dracula-2006,Dracula,2006,tt0847161
Dulcy-1940,Dulcy,1940,tt0032422
Dumbo-2019,Dumbo,2019,tt3861390
East of Eden-1981,East of Eden,1981,
