Movie ID,Remake Title,Remake Year,Remake IMDb ID
The Scapegoat-2012,The Scapegoat,2012,tt2084977
Scared Stiff-1953,Scared Stiff,1953,tt0046280
Scarface-1983,Scarface,1983,tt0086250
Scent of a Woman-1992,Scent of a Woman,1992,tt0105323
School for Scoundrels-2006,School for Scoundrels,2006,tt0462519
Séance-2000,Séance,2000,
Sea Wolf-2009,Sea Wolf,2009,
The Secret-2007,The Secret,2007,tt0446463
Secret in Their Eyes-2015,Secret in Their Eyes,2015,tt1741273
The Secret Life of Walter Mitty-2013,The Secret Life of Walter Mitty,2013,tt0359950
Senso '45-2002,Senso '45,2002,
Sergeants 3-1962,Sergeants 3,1962,tt0056470
Seventh Heaven-1937,Seventh Heaven,1937,tt0029539
Shadow of a Doubt-1991,Shadow of a Doubt,1991,tt0102896
Shaft-2000,Shaft,2000,tt0162650
The Shaggy Dog-2006,The Shaggy Dog,2006,tt0393735
"Shake, Rattle and Rock!-1994","Shake, Rattle and Rock!",1994,tt0111147
The Shakiest Gun in the West-1968,The Shakiest Gun in the West,1968,tt0063591
Shall We Dance-2004,Shall We Dance,2004,tt0358135
Dr. Nawariyan-2017,Dr. Nawariyan,2017,tt7730042
Shankar Dada Zindabad-2007,Shankar Dada Zindabad,2007,
She-1965,She,1965,tt0059710
The Shining-1997,The Shining,1997,tt0118460
Shiva-2006,Shiva,2006,tt0831816
Shortcut to Happiness-2007,Shortcut to Happiness,2007,
Show Boat-1951,Show Boat,1951,tt0044030
Sideways-2009,Sideways,2009,tt1236373
Silk Stockings-1957,Silk Stockings,1957,tt0050972
The Sign of the Cross-1932,The Sign of the Cross,1932,tt0023470
Sleeping Car to Trieste-1948,Sleeping Car to Trieste,1948,tt0040799
So Big-1953,So Big,1953,tt0046333
Solaris-2002,Solaris,2002,tt0307479
Solstice-2008,Solstice,2008,tt0473267
A Song Is Born-1948,A Song Is Born,1948,tt0040820
Sorcerer-1977,Sorcerer,1977,tt0076740
Sorority Row-2009,Sorority Row,2009,tt1232783
The Sound and the Fury-2014,The Sound and the Fury,2014,tt3026144
Spring Parade-1940,Spring Parade,1940,tt0033095
Springtime in a Small Town-2002,Springtime in a Small Town,2002,tt0332831
The Squaw Man-1931,The Squaw Man,1931,tt0022428
Stage Struck-1958,Stage Struck,1958,tt0052235
Stagecoach-1986,Stagecoach,1986,tt0092003
A Star Is Born-2018,A Star Is Born,2018,tt1517451
State Fair-1962,State Fair,1962,tt0056526
The Stepfather-2009,The Stepfather,2009,tt0814335
The Stepford Wives-2004,The Stepford Wives,2004,tt0327162
Stolen Hours-1963,Stolen Hours,1963,
Straw Dogs-2011,Straw Dogs,2011,tt0999913
The Student of Prague-1935,The Student of Prague,1935,tt0027055
The Sun Shines Bright-1953,The Sun Shines Bright,1953,tt0046384
The Sunshine Boys-1996,The Sunshine Boys,1996,tt0114580
Svengali-1983,Svengali,1983,tt0086399
The Swan-1956,The Swan,1956,tt0049815
Sweet 20-2015,Sweet 20,2015,
Sweet November-2001,Sweet November,2001,tt0230838
Swept Away-2002,Swept Away,2002,tt0291502
Switching Channels-1988,Switching Channels,1988,tt0096203
The Taking of Pelham 1 2 3-2009,The Taking of Pelham 1 2 3,2009,
"Tarzan, the Ape Man-1959","Tarzan, the Ape Man",1959,tt0053335
Taxi-2004,Taxi,2004,tt0316732
The Texas Chainsaw Massacre-2003,The Texas Chainsaw Massacre,2003,tt0324216
That Darn Cat-1997,That Darn Cat,1997,tt0120317
The Thief of Baghdad-1978,The Thief of Baghdad,1978,tt0078385
Thieves Like Us-1974,Thieves Like Us,1974,tt0072274
The 39 Steps-2008,The 39 Steps,2008,tt1282016
Yamato Takeru-1994,Yamato Takeru,1994,tt0111783
The Thing-1982,The Thing,1982,tt0084787
The Thirteenth Floor-1999,The Thirteenth Floor,1999,tt0139809
Thirteen Ghosts-2001,Thirteen Ghosts,2001,
The Thomas Crown Affair-1999,The Thomas Crown Affair,1999,tt0155267
Three Fugitives-1989,Three Fugitives,1989,tt0098471
The Three Musketeers-2011,The Three Musketeers,2011,tt1509767
The Time Machine-2002,The Time Machine,2002,tt0268695
To Be or Not to Be-1983,To Be or Not to Be,1983,tt0086450
Too Good to Be True-1988,Too Good to Be True,1988,tt0096285
Toolbox Murders-2004,Toolbox Murders,2004,tt0367153
Tortilla Soup-2001,Tortilla Soup,2001,tt0255653
Total Recall-2012,Total Recall,2012,tt1386703
Tom Brown's Schooldays-2005,Tom Brown's Schooldays,2005,tt0415322
Tom Sawyer & Huckleberry Finn-2014,Tom Sawyer & Huckleberry Finn,2014,tt1977087
The Tourist-2010,The Tourist,2010,tt1243957
Tower of London-1962,Tower of London,1962,tt0056606
The Toy-1982,The Toy,1982,tt0084809
Trader Horn-1973,Trader Horn,1973,tt0070823
Treasure Island-2012,Treasure Island,2012,tt1820723
True Grit-2010,True Grit,2010,tt1403865
True Lies-1994,True Lies,1994,tt0111503
The Truth About Charlie-2002,The Truth About Charlie,2002,tt0270707
Two Much-1996,Two Much,1996,
Under Capricorn-1983,Under Capricorn,1983,tt0083498
Under Suspicion-2000,Under Suspicion,2000,tt0164212
The Underneath-1995,The Underneath,1995,tt0114788
Ganda Hendathi-2006,Ganda Hendathi,2006,tt2417628
Unfaithfully Yours-1984,Unfaithfully Yours,1984,tt0088326
The Unfaithful-1947,The Unfaithful,1947,tt0039937
The Unholy Three-1930,The Unholy Three,1930,tt0021505
The Unknown Soldier-1985,The Unknown Soldier,1985,tt0090215
The Upside-2019,The Upside,2019,
Vanilla Sky-2001,Vanilla Sky,2001,tt0259711
The Vanishing-1993,The Vanishing,1993,tt0108473
Vanishing Point-1997,Vanishing Point,1997,tt0120430
Vanity Fair-2018,Vanity Fair,2018,tt7076630
Victor Frankenstein-2015,Victor Frankenstein,2015,tt1976009
Victor/Victoria-1982,Victor/Victoria,1982,
Village of the Damned-1995,Village of the Damned,1995,tt0114852
The Virginian-1946,The Virginian,1946,tt0039082
Walk Don't Run-1966,Walk Don't Run,1966,tt0061170
A Walk in the Clouds-1995,A Walk in the Clouds,1995,tt0114887
Walking Tall-2004,Walking Tall,2004,tt0351977
The War of the Worlds-2019,The War of the Worlds,2019,tt8001226
Web of the Spider-1971,Web of the Spider,1971,tt0066132
We Are Family-2010,We Are Family,2010,tt1428459
Welcome to Collinwood-2002,Welcome to Collinwood,2002,tt0271259
We're No Angels-1989,We're No Angels,1989,tt0098625
What a Girl Wants-2003,What a Girl Wants,2003,tt0286788
When a Stranger Calls-2006,When a Stranger Calls,2006,tt0455857
What Ever Happened to Baby Jane?-1991,What Ever Happened to Baby Jane?,1991,tt0103242
What Men Want-2019,What Men Want,2019,tt7634968
Where the Boys Are '84-1984,Where the Boys Are '84,1984,
The Wicked Lady-1983,The Wicked Lady,1983,tt0086582
The Wicker Man-2006,The Wicker Man,2006,tt0450345
Wicker Park-2004,Wicker Park,2004,tt0324554
Willard-2003,Willard,2003,tt0310357
The Winslow Boy-1999,The Winslow Boy,1999,tt0155388
The Witness-2015,The Witness,2015,tt3568002
The Wiz-1978,The Wiz,1978,tt0078504
The Witness for the Prosecution-2016,The Witness for the Prosecution,2016,tt5834256
The Wolfman-2010,The Wolfman,2010,tt0780653
The Woman in Black-2012,The Woman in Black,2012,tt1596365
The Woman in Red-1984,The Woman in Red,1984,tt0088414
The Woman in White-2018,The Woman in White,2018,
The Women-2008,The Women,2008,tt0430770
The Yellow Handkerchief-2010,The Yellow Handkerchief,2010,
Yogi-2007,Yogi,2007,tt0887793
You Can't Run Away from It-1956,You Can't Run Away from It,1956,tt0049973
"Yours, Mine and Ours-2005","Yours, Mine and Ours",2005,
You're Never Too Young-1955,You're Never Too Young,1955,tt0048822
You've Got Mail-1998,You've Got Mail,1998,tt0128853
